States,Number of Employees,Hourly mean wage,Annual mean wage (2),Hourly 10th percentile wage,Hourly 25th percentile wage,Hourly median wage,Hourly 75th percentile wage,Hourly 90th percentile wage,Annual 10th percentile wage (2),Annual 25th percentile wage (2),Annual median wage (2),Annual 75th percentile wage (2),Annual 90th percentile wage (2),"Employment per 1,000 jobs",Location Quotient
Alabama,1390.0,45.79,95250.0,35.11,38.58,45.87,51.97,59.13,73030.0,80250.0,95410.0,108110.0,122990.0,0.6639999747276306,0.6700000166893005
Alaska,340.0,48.89,101700.0,32.35,43.17,48.11,57.62,64.46,67280.0,89790.0,100070.0,119850.0,134080.0,1.0490000247955322,1.059999942779541
Arizona,2390.0,48.73,101360.0,36.07,40.4,49.14,55.76,62.03,75020.0,84030.0,102220.0,115970.0,129010.0,0.746999979019165,0.7599999904632568
Arkansas,1740.0,48.31,100490.0,31.0,38.64,47.76,60.82,68.09,64480.0,80370.0,99350.0,126500.0,141620.0,1.3519999980926514,1.3700000047683716
California,12020.0,56.31,117120.0,39.47,48.63,57.44,63.76,74.42,82090.0,101160.0,119470.0,132630.0,154800.0,0.6660000085830688,0.6700000166893005
Colorado,3740.0,51.24,106590.0,38.01,41.61,49.99,58.05,70.08,79070.0,86550.0,103970.0,120730.0,145770.0,1.2929999828338623,1.309999942779541
Connecticut,3000.0,48.62,101120.0,35.92,40.0,49.08,53.01,62.83,74700.0,83200.0,102080.0,110250.0,130680.0,1.784999966621399,1.809999942779541
Delaware,480.0,45.97,95610.0,31.13,36.36,46.19,54.62,61.19,64750.0,75620.0,96080.0,113600.0,127280.0,1.0049999952316284,1.0199999809265137
District of Columbia,530.0,51.77,107690.0,37.89,40.28,47.73,60.11,61.62,78820.0,83790.0,99290.0,125040.0,128180.0,0.746999979019165,0.7599999904632568
Florida,9230.0,46.74,97230.0,35.37,39.82,47.63,50.08,55.77,73570.0,82820.0,99070.0,104170.0,116010.0,0.9399999976158142,0.949999988079071
Georgia,3670.0,46.01,95690.0,29.1,37.51,47.45,53.51,60.25,60530.0,78020.0,98690.0,111300.0,125330.0,0.7549999952316284,0.7599999904632568
Hawaii,340.0,46.69,97120.0,38.72,42.17,45.46,51.67,54.97,80540.0,87710.0,94550.0,107480.0,114340.0,0.546999990940094,0.550000011920929
Idaho,630.0,41.66,86650.0,23.48,36.89,42.54,48.76,56.54,48840.0,76720.0,88470.0,101410.0,117600.0,0.7480000257492065,0.7599999904632568
Illinois,7410.0,46.56,96850.0,32.47,38.43,47.55,51.78,61.93,67530.0,79930.0,98900.0,107710.0,128810.0,1.222000002861023,1.2400000095367432
Indiana,3440.0,44.61,92800.0,30.37,38.02,44.95,49.95,58.32,63160.0,79090.0,93500.0,103890.0,121310.0,1.0789999961853027,1.090000033378601
Iowa,1170.0,43.84,91200.0,33.44,37.76,42.68,49.75,55.42,69560.0,78540.0,88780.0,103470.0,115270.0,0.7509999871253967,0.7599999904632568
Kansas,1650.0,44.97,93540.0,30.57,38.07,46.63,50.88,57.26,63590.0,79180.0,97000.0,105830.0,119100.0,1.1549999713897705,1.1699999570846558
Kentucky,2110.0,43.78,91070.0,32.76,37.6,43.87,49.63,55.74,68140.0,78210.0,91250.0,103230.0,115940.0,1.055999994277954,1.0700000524520874
Louisiana,2030.0,42.94,89320.0,27.2,33.0,45.21,50.21,59.13,56570.0,68630.0,94030.0,104440.0,122990.0,1.062000036239624,1.0800000429153442
Maine,1000.0,39.88,82940.0,30.52,35.87,39.52,44.87,49.13,63480.0,74600.0,82200.0,93340.0,102180.0,1.5750000476837158,1.590000033378601
Maryland,2650.0,48.49,100860.0,35.37,40.05,48.98,55.7,62.22,73570.0,83300.0,101880.0,115860.0,129410.0,0.9660000205039978,0.9800000190734864
Massachusetts,6250.0,46.53,96790.0,35.11,40.1,47.32,50.98,58.89,73020.0,83400.0,98420.0,106040.0,122490.0,1.715999960899353,1.7400000095367432
Michigan,5090.0,41.44,86200.0,29.44,36.11,40.61,47.72,50.82,61220.0,75100.0,84480.0,99260.0,105710.0,1.159000039100647,1.1699999570846558
Minnesota,3360.0,42.51,88430.0,30.19,37.78,40.88,47.47,50.64,62790.0,78580.0,85040.0,98740.0,105320.0,1.149999976158142,1.159999966621399
Mississippi,1120.0,43.81,91120.0,32.88,37.71,44.39,49.98,54.81,68390.0,78430.0,92330.0,103950.0,114010.0,0.9679999947547911,0.9800000190734864
Missouri,2850.0,43.44,90360.0,31.95,38.17,45.0,49.33,54.33,66460.0,79390.0,93600.0,102600.0,113000.0,0.9769999980926514,0.9900000095367432
