States,Number of Employees,Hourly mean wage,Annual mean wage (2),Hourly 10th percentile wage,Hourly 25th percentile wage,Hourly median wage,Hourly 75th percentile wage,Hourly 90th percentile wage,Annual 10th percentile wage (2),Annual 25th percentile wage (2),Annual median wage (2),Annual 75th percentile wage (2),Annual 90th percentile wage (2),"Employment per 1,000 jobs",Location Quotient
Alabama,2750.0,47.06,97890.0,32.71,37.89,46.65,55.89,61.93,68030.0,78810.0,97040.0,116260.0,128810.0,1.3170000314712524,0.8199999928474426
Alaska,600.0,54.42,113190.0,41.87,48.67,52.23,61.07,65.2,87080.0,101240.0,108640.0,127020.0,135610.0,1.8739999532699585,1.159999966621399
Arizona,4540.0,50.12,104250.0,38.0,42.06,48.88,57.64,63.16,79040.0,87480.0,101660.0,119900.0,131380.0,1.4210000038146973,0.8799999952316284
Arkansas,2740.0,46.4,96510.0,34.13,37.88,46.56,52.37,62.14,70990.0,78790.0,96840.0,108930.0,129260.0,2.127000093460083,1.3200000524520874
California,24380.0,58.16,120970.0,39.38,47.64,59.28,65.98,77.51,81910.0,99100.0,123300.0,137250.0,161230.0,1.350000023841858,0.8399999737739563
Colorado,5430.0,48.28,100430.0,33.69,39.87,48.19,54.35,61.47,70070.0,82920.0,100240.0,113050.0,127870.0,1.878999948501587,1.1699999570846558
Connecticut,4310.0,49.24,102420.0,37.67,41.16,49.87,52.98,60.26,78360.0,85610.0,103720.0,110200.0,125340.0,2.559999942779541,1.590000033378601
Delaware,910.0,51.18,106450.0,38.69,43.41,49.58,59.55,65.38,80480.0,90300.0,103120.0,123870.0,135990.0,1.9160000085830688,1.190000057220459
District of Columbia,850.0,52.87,109970.0,40.63,46.74,48.44,59.93,63.37,84510.0,97220.0,100760.0,124650.0,131810.0,1.1929999589920044,0.7400000095367432
Florida,17050.0,45.53,94690.0,29.05,38.52,47.54,51.18,59.47,60430.0,80130.0,98880.0,106460.0,123700.0,1.7359999418258667,1.0800000429153442
Georgia,5480.0,48.85,101610.0,36.76,39.42,49.0,57.08,62.99,76450.0,81990.0,101930.0,118720.0,131030.0,1.128000020980835,0.699999988079071
Hawaii,990.0,48.51,100900.0,39.04,45.0,48.43,55.2,58.54,81210.0,93600.0,100740.0,114820.0,121760.0,1.5959999561309814,0.9900000095367432
Idaho,1170.0,44.94,93470.0,34.7,37.49,45.0,51.66,58.96,72180.0,77980.0,93610.0,107450.0,122630.0,1.3899999856948853,0.8600000143051147
Illinois,10390.0,51.91,107980.0,39.71,46.22,49.7,57.33,67.63,82590.0,96140.0,103380.0,119250.0,140670.0,1.7130000591278076,1.059999942779541
