States,Number of Employees,Hourly mean wage,Annual mean wage (2),Hourly 10th percentile wage,Hourly 25th percentile wage,Hourly median wage,Hourly 75th percentile wage,Hourly 90th percentile wage,Annual 10th percentile wage (2),Annual 25th percentile wage (2),Annual median wage (2),Annual 75th percentile wage (2),Annual 90th percentile wage (2),"Employment per 1,000 jobs",Location Quotient
Alabama,150,41.19,85670.0,28.93,33.79,41.32,46.77,49.21,60180.0,70280.0,85950.0,97280.0,102350.0,0.07400000095367432,0.6100000143051147
Alaska,,59.33,123410.0,51.84,57.23,57.84,61.28,66.28,107820.0,119040.0,120310.0,127460.0,137870.0,,
Arizona,420,52.17,108510.0,38.04,45.03,49.17,59.66,64.65,79130.0,93650.0,102270.0,124100.0,134480.0,0.12999999523162842,1.0700000524520874
Arkansas,70,51.43,106980.0,31.68,33.09,41.68,43.41,55.93,65900.0,68820.0,86690.0,90290.0,116340.0,0.052000001072883606,0.4300000071525574
California,1240,76.2,158490.0,55.66,65.64,76.94,82.82,97.55,115770.0,136520.0,160040.0,172260.0,202910.0,0.06800000369548798,0.5600000023841858
Colorado,,53.14,110540.0,43.69,47.13,50.06,57.66,64.6,90880.0,98020.0,104110.0,119930.0,134370.0,,
Connecticut,120,53.05,110330.0,39.51,42.42,52.07,59.08,66.5,82190.0,88240.0,108310.0,122890.0,138320.0,0.0729999989271164,0.6100000143051147
Delaware,60,58.17,120990.0,48.58,51.26,52.89,67.43,67.43,101050.0,106610.0,110000.0,140240.0,140240.0,0.12399999797344208,1.0299999713897705
District of Columbia,100,50.62,105290.0,38.36,46.46,46.46,61.32,63.35,79790.0,96640.0,96640.0,127550.0,131760.0,0.13500000536441803,1.1100000143051147
Florida,1390,45.9,95480.0,38.43,41.07,46.61,48.8,50.52,79920.0,85420.0,96940.0,101500.0,105080.0,0.14100000262260437,1.159999966621399
Georgia,390,47.34,98460.0,36.73,40.28,46.13,51.29,61.36,76390.0,83790.0,95960.0,106680.0,127620.0,0.08100000023841858,0.6600000262260437
Idaho,80,46.45,96610.0,36.06,37.79,48.19,49.57,58.43,75000.0,78600.0,100230.0,103110.0,121540.0,0.09799999743700027,0.8100000023841858
Illinois,,53.71,111720.0,44.55,51.5,57.87,57.87,57.87,92660.0,107120.0,120360.0,120360.0,120360.0,,
Indiana,260,45.51,94660.0,32.03,38.11,47.18,49.82,56.68,66630.0,79260.0,98130.0,103620.0,117900.0,0.08299999684095383,0.6899999976158142
Iowa,170,40.56,84370.0,30.79,34.71,37.6,45.86,47.81,64050.0,72200.0,78210.0,95380.0,99440.0,0.11100000143051147,0.9200000166893005
Kansas,110,43.24,89950.0,35.8,39.49,40.64,45.76,51.26,74470.0,82150.0,84520.0,95190.0,106630.0,0.07599999755620956,0.6299999952316284
Kentucky,220,49.42,102800.0,26.01,37.44,47.09,49.56,51.83,54100.0,77870.0,97940.0,103090.0,107810.0,0.11100000143051147,0.9200000166893005
Louisiana,110,45.26,94140.0,31.56,36.99,44.87,49.64,59.44,65640.0,76950.0,93320.0,103260.0,123640.0,0.05900000035762787,0.47999998927116394
Maine,40,43.68,90860.0,36.69,39.34,40.7,49.36,53.56,76300.0,81820.0,84650.0,102670.0,111400.0,0.0689999982714653,0.5699999928474426
Maryland,230,49.17,102270.0,37.61,40.7,48.84,57.14,61.44,78240.0,84650.0,101590.0,118860.0,127790.0,0.0820000022649765,0.6800000071525574
Massachusetts,300,54.09,112520.0,38.62,41.47,50.36,62.14,67.43,80320.0,86260.0,104740.0,129240.0,140260.0,0.08100000023841858,0.6700000166893005
Michigan,620,43.07,89580.0,35.82,38.66,41.71,47.19,49.44,74510.0,80410.0,86750.0,98150.0,102830.0,0.14000000059604645,1.159999966621399
Minnesota,220,46.16,96020.0,37.59,39.64,46.81,48.95,50.35,78190.0,82440.0,97360.0,101820.0,104720.0,0.07500000298023224,0.6200000047683716
Mississippi,80,40.13,83470.0,30.97,34.21,39.02,43.25,47.62,64410.0,71150.0,81160.0,89960.0,99050.0,0.07100000232458115,0.5899999737739563
Missouri,540,44.84,93270.0,32.63,38.69,42.36,50.42,54.67,67870.0,80480.0,88100.0,104870.0,113720.0,0.1850000023841858,1.5299999713897705
