school_code,school_name,city,state,degree_type,board_pass_rate_first_time_2yr,board_pass_rate_ultimate_2yr,graduates_tested
,University of Alabama at Birmingham,,Alabama,OTD,91,,
,Alabama State University,,Alabama,MOT,94,,
,Tuskegee University,,Alabama,MOT,63,,
,University of Alabama at Birmingham,,Alabama,MOT,100,,
,University of South Alabama,,Alabama,MOT,100,,
,"A.T. Still University, Arizona School of Health Sciences",,Arizona,OTD,100,,
,"Huntington University, Peoria",,Arizona,OTD,94,,
,Northern Arizona University,,Arizona,OTD,95,,
,"A.T. Still University, Arizona School of Health Sciences",,Arizona,MOT,100,,
,"Midwestern University, Glendale",,Arizona,MOT,100,,
,"Arkansas State University, Jonesboro",,Arkansas,OTD,83,,
,University of Arkansas - Fayetteville / University of Arkansas for Medical Sciences,,Arkansas,OTD,96,,
,University of Central Arkansas,,Arkansas,OTD,96,,
,Samuel Merritt University,,California,OTD,91,,
,"University of St. Augustine for Health Sciences, California Campus",,California,OTD,86,,
,"University of the Pacific, Sacramento",,California,OTD,87,,
,"West Coast University, Los Angeles",,California,OTD,91,,
,"California State University, Dominguez Hills",,California,MOT,98,,
,Dominican University of California,,California,MOT,93,,
,Loma Linda University Health,,California,MOT,96,,
,Samuel Merritt University,,California,MOT,50,,
,San Jose State University,,California,MOT,97,,
,Stanbridge University,,California,MOT,97,,
,University of Southern California,,California,MOT,76,,
,"University of St. Augustine for Health Sciences, California Campus",,California,MOT,86,,
,"West Coast University, Los Angeles",,California,MOT,95,,
,Colorado Mesa University,,Colorado,MOT,100,,
,Colorado State University,,Colorado,MOT,100,,
,Quinnipiac University,,Connecticut,OTD,92,,
,Quinnipiac University,,Connecticut,MOT,100,,
,Sacred Heart University,,Connecticut,MOT,98,,
,University of Hartford,,Connecticut,MOT,100,,
,Delaware State University,,Delaware,MOT,70,,
,Howard University,,District of Columbia,OTD,100,,
,Trinity Washington University,,District of Columbia,MOT,88,,
,Gannon University-Florida Campus,,Florida,OTD,83,,
,Jacksonville University,,Florida,OTD,90,,
,"Nova Southeastern University, Tampa Bay Regional Campus",,Florida,OTD,97,,
,University of Florida,,Florida,OTD,100,,
,"University of St. Augustine for Health Sciences, Miami Campus",,Florida,OTD,80,,
,"University of St. Augustine for Health Sciences, St. Augustine Campus",,Florida,OTD,98,,
,AdventHealth University,,Florida,MOT,100,,
,Barry University,,Florida,MOT,71,,
,Florida Agricultural and Mechanical University,,Florida,MOT,90,,
,Florida Gulf Coast University,,Florida,MOT,100,,
,Florida International University,,Florida,MOT,95,,
,"Keiser University, Fort Myers",,Florida,MOT,70,,
,"Keiser University, Ft. Lauderdale Campus",,Florida,MOT,72,,
,"Nova Southeastern University, Ft. Lauderdale",,Florida,MOT,83,,
,"University of St. Augustine for Health Sciences, Miami Campus",,Florida,MOT,70,,
,"University of St. Augustine for Health Sciences, St. Augustine Campus",,Florida,MOT,92,,
,"Brenau University, North Atlanta, Norcross Campus",,Georgia,OTD,83,,
,Georgia State University,,Georgia,OTD,100,,
,Augusta University,,Georgia,MOT,98,,
,Brenau University,,Georgia,MOT,85,,
,Middle Georgia State University,,Georgia,MOT,100,,
,Idaho State University,,Idaho,MOT,100,,
,"Midwestern University, Downers Grove",,Illinois,OTD,93,,
,Rush University,,Illinois,OTD,100,,
,Chicago State University,,Illinois,MOT,63,,
,DePaul University,,Illinois,MOT,100,,
,Elmhurst University,,Illinois,MOT,94,,
,Governors State University,,Illinois,MOT,54,,
,Lewis University,,Illinois,MOT,92,,
,North Central College,,Illinois,MOT,86,,
,University of Illinois Chicago,,Illinois,MOT,80,,
,Huntington University,,Indiana,OTD,97,,
,Indiana University,,Indiana,OTD,100,,
,Indiana Wesleyan University,,Indiana,OTD,93,,
,University of Indianapolis,,Indiana,OTD,100,,
,Indiana State University,,Indiana,MOT,100,,
,"Indiana University, South Bend",,Indiana,MOT,77,,
,University of Indianapolis,,Indiana,MOT,100,,
,University of Southern Indiana,,Indiana,MOT,97,,
,Drake University,,Iowa,OTD,98,,
,St. Ambrose University,,Iowa,OTD,94,,
,Allen College,,Iowa,MOT,100,,
,University of Kansas Medical Center,,Kansas,OTD,96,,
,"University of Saint Mary, Leavenworth",,Kansas,OTD,100,,
,Eastern Kentucky University,,Kentucky,OTD,100,,
,Spalding University,,Kentucky,OTD,87,,
,Eastern Kentucky University,,Kentucky,MOT,83,,
,"Murray State University, Paducah Regional Campus",,Kentucky,MOT,100,,
,Louisiana State University Health New Orleans,,Louisiana,MOT,100,,
,University of Louisiana at Monroe,,Louisiana,MOT,95,,
,Husson University,,Maine,MOT,91,,
,University of New England,,Maine,MOT,91,,
,University of Southern Maine at Lewiston-Auburn College,,Maine,MOT,82,,
,Towson University,,Maryland,OTD,100,,
,Towson University,,Maryland,MOT,100,,
,"Boston University, College of Health & Rehabilitation Sciences (Sargent College)",,Massachusetts,OTD,97,,
,MGH Institute of Health Professions,,Massachusetts,OTD,100,,
,Tufts University,,Massachusetts,OTD,100,,
,Western New England University,,Massachusetts,OTD,79,,
,American International College,,Massachusetts,MOT,55,,
,Bay Path University-East Longmeadow Campus,,Massachusetts,MOT,88,,
,Regis College,,Massachusetts,MOT,89,,
,Salem State University,,Massachusetts,MOT,87,,
,Springfield College,,Massachusetts,MOT,97,,
,Worcester State University,,Massachusetts,MOT,100,,
,"University of Michigan, Flint",,Michigan,OTD,89,,
,Western Michigan University,,Michigan,OTD,93,,
,Baker College Center for Graduate Studies,,Michigan,MOT,100,,
,Davenport University,,Michigan,MOT,97,,
,Eastern Michigan University,,Michigan,MOT,97,,
,Grand Valley State University,,Michigan,MOT,98,,
,Saginaw Valley State University,,Michigan,MOT,100,,
,Wayne State University,,Michigan,MOT,96,,
,Brunel University London,,Middlesex,MOT,75,,
,St. Catherine University,,Minnesota,OTD,90,,
,University of Minnesota,,Minnesota,OTD,94,,
,College of St. Scholastica,,Minnesota,MOT,100,,
,St. Catherine University,,Minnesota,MOT,96,,
,University of Mississippi Medical Center,,Mississippi,OTD,100,,
,University of Mississippi Medical Center,,Mississippi,MOT,100,,
,Rockhurst University,,Missouri,OTD,91,,
,University of Missouri,,Missouri,OTD,100,,
,Washington University,,Missouri,OTD,96,,
,Cox College,,Missouri,MOT,100,,
,Maryville University,,Missouri,MOT,100,,
,Missouri State University,,Missouri,MOT,100,,
,St. Louis University,,Missouri,MOT,98,,
,Washington University,,Missouri,MOT,100,,
,Rocky Mountain College,,Montana,OTD,97,,
,"University of Mary, Billings",,Montana,OTD,100,,
,College of Saint Mary,,Nebraska,OTD,87,,
,Creighton University,,Nebraska,OTD,97,,
,University of Nebraska Medical Center,,Nebraska,OTD,100,,
,College of Saint Mary,,Nebraska,MOT,67,,
,Nebraska Methodist College,,Nebraska,MOT,92,,
,Touro University Nevada,,Nevada,OTD,94,,
,"University of Nevada, Las Vegas",,Nevada,OTD,97,,
,"MCPHS University, Manchester Campus",,New Hampshire,MOT,84,,
,University of New Hampshire,,New Hampshire,MOT,96,,
,Kean University,,New Jersey,OTD,100,,
,Monmouth University,,New Jersey,OTD,100,,
,"Rutgers, The State University of New Jersey",,New Jersey,OTD,100,,
,Kean University,,New Jersey,MOT,93,,
,Seton Hall University,,New Jersey,MOT,90,,
,Stockton University,,New Jersey,MOT,100,,
,University of New Mexico,,New Mexico,MOT,88,,
,New York Institute of Technology,,New York,OTD,96,,
,Roberts Wesleyan University,,New York,OTD,100,,
,Russell Sage College,,New York,OTD,100,,
,"Yeshiva University, Jack and Pearl Resnick Campus",,New York,OTD,93,,
,Clarkson University,,New York,MOT,83,,
,Columbia University,,New York,MOT,96,,
,D’Youville University,,New York,MOT,94,,
,Dominican University New York,,New York,MOT,75,,
,Hofstra University,,New York,MOT,94,,
,Iona University,,New York,MOT,80,,
,Ithaca College,,New York,MOT,94,,
,Keuka College,,New York,MOT,97,,
,Le Moyne College,,New York,MOT,83,,
,"Long Island University, Brooklyn",,New York,MOT,82,,
,Maria College,,New York,MOT,57,,
,Mercy University,,New York,MOT,70,,
,Nazareth University,,New York,MOT,100,,
,New York Institute of Technology,,New York,MOT,97,,
,New York University,,New York,MOT,94,,
,Pace University - Westchester Campus,,New York,MOT,79,,
,Russell Sage College,,New York,MOT,96,,
,St. Bonaventure University,,New York,MOT,64,,
,State University of New York Downstate Health Sciences University,,New York,MOT,97,,
,Stony Brook University,,New York,MOT,88,,
,Touro University,,New York,MOT,84,,
,"University at Buffalo, State University of New York",,New York,MOT,91,,
,Utica University,,New York,MOT,74,,
,"York College, The City University of New York",,New York,MOT,71,,
,Duke University School of Medicine,,North Carolina,OTD,100,,
,Methodist University,,North Carolina,OTD,89,,
,Wingate University,,North Carolina,OTD,100,,
,Cabarrus College of Health Sciences,,North Carolina,MOT,96,,
,East Carolina University,,North Carolina,MOT,100,,
,Lenoir-Rhyne University,,North Carolina,MOT,88,,
,"Pfeiffer University, Albemarle Campus",,North Carolina,MOT,90,,
,University of North Carolina at Chapel Hill,,North Carolina,MOT,100,,
,Winston-Salem State University,,North Carolina,MOT,93,,
,"University of Mary, Bismark",,North Dakota,OTD,100,,
,University of North Dakota,,North Dakota,OTD,100,,
,Cleveland State University,,Ohio,OTD,93,,
,Kettering College,,Ohio,OTD,100,,
,Ohio State University,,Ohio,OTD,100,,
,University of Findlay,,Ohio,OTD,100,,
,University of Toledo,,Ohio,OTD,100,,
,Xavier University,,Ohio,OTD,100,,
,Muskingum University,,Ohio,MOT,100,,
,Shawnee State University,,Ohio,MOT,87,,
,University of Cincinnati,,Ohio,MOT,100,,
,University of Findlay,,Ohio,MOT,100,,
,Walsh University,,Ohio,MOT,94,,
,Wilmington College,,Ohio,MOT,100,,
,"Northeastern State University, Muskogee Campus",,Oklahoma,MOT,100,,
,University of Oklahoma Health Sciences Center,,Oklahoma,MOT,97,,
,Pacific University,,Oregon,OTD,100,,
,Cedar Crest College,,Pennsylvania,OTD,100,,
,Chatham University,,Pennsylvania,OTD,94,,
,Duquesne University,,Pennsylvania,OTD,100,,
,Elizabethtown College,,Pennsylvania,OTD,100,,
,Slippery Rock University,,Pennsylvania,OTD,92,,
,St. Joseph's University,,Pennsylvania,OTD,100,,
,Thomas Jefferson University-Center City Campus,,Pennsylvania,OTD,100,,
,University of Pittsburgh,,Pennsylvania,OTD,98,,
,Widener University,,Pennsylvania,OTD,95,,
,Alvernia University,,Pennsylvania,MOT,84,,
,Carlow University,,Pennsylvania,MOT,100,,
,Duquesne University,,Pennsylvania,MOT,100,,
,Elizabethtown College,,Pennsylvania,MOT,91,,
,Gannon University,,Pennsylvania,MOT,87,,
,Gwynedd Mercy University,,Pennsylvania,MOT,90,,
,Messiah University,,Pennsylvania,MOT,100,,
,Misericordia University,,Pennsylvania,MOT,90,,
,Moravian University,,Pennsylvania,MOT,100,,
,Salus University,,Pennsylvania,MOT,92,,
,St. Francis University,,Pennsylvania,MOT,100,,
,St. Joseph's University,,Pennsylvania,MOT,86,,
,Temple University,,Pennsylvania,MOT,67,,
,Thomas Jefferson University-Center City Campus,,Pennsylvania,MOT,97,,
,Thomas Jefferson University-East Falls Campus,,Pennsylvania,MOT,97,,
,University of Scranton,,Pennsylvania,MOT,100,,
,"University of Puerto Rico, Medical Sciences Center",,Puerto Rico,MOT,17,,
,"Johnson & Wales University, Providence",,Rhode Island,OTD,95,,
,New England Institute of Technology,,Rhode Island,MOT,72,,
,Medical University of South Carolina,,South Carolina,OTD,100,,
,Presbyterian College,,South Carolina,OTD,95,,
,University of South Dakota,,South Dakota,OTD,100,,
,Belmont University,,Tennessee,OTD,100,,
,Lincoln Memorial University,,Tennessee,OTD,100,,
,University of Tennessee at Chattanooga,,Tennessee,OTD,100,,
,Belmont University,,Tennessee,MOT,100,,
,Milligan University,,Tennessee,MOT,100,,
,Tennessee State University,,Tennessee,MOT,79,,
,Tennessee Wesleyan University - Downtown Knoxville Site,,Tennessee,MOT,93,,
,University of Tennessee Health Science Center,,Tennessee,MOT,97,,
,Abilene Christian University,,Texas,OTD,86,,
,Baylor University,,Texas,OTD,92,,
,Texas Tech University Health Sciences Center,,Texas,OTD,100,,
,Texas Woman's University,,Texas,OTD,98,,
,U.S. Army Medical Center of Excellence/Baylor University,,Texas,OTD,100,,
,"University of St. Augustine for Health Sciences, Austin Campus",,Texas,OTD,81,,
,"University of St. Augustine for Health Sciences, Dallas Campus",,Texas,OTD,80,,
,University of Texas Health Science Center at San Antonio,,Texas,OTD,98,,
,University of Texas Medical Branch,,Texas,OTD,98,,
,Abilene Christian University,,Texas,MOT,83,,
,University of Mary Hardin-Baylor,,Texas,MOT,80,,
,"University of St. Augustine for Health Sciences, Austin Campus",,Texas,MOT,92,,
,University of Texas at El Paso,,Texas,MOT,82,,
,University of Texas at Tyler,,Texas,MOT,100,,
,University of Utah,,Utah,MOT,97,,
,"Emory and Henry University, Marion Campus",,Virginia,OTD,100,,
,Mary Baldwin University,,Virginia,OTD,100,,
,Shenandoah University,,Virginia,OTD,97,,
,Virginia Commonwealth University,,Virginia,OTD,98,,
,James Madison University,,Virginia,MOT,100,,
,Radford University,,Virginia,MOT,96,,
,Shenandoah University,,Virginia,MOT,100,,
,"Shenandoah University, Scholar Plaza Campus",,Virginia,MOT,92,,
,University of Puget Sound,,Washington,OTD,100,,
,Eastern Washington University,,Washington,MOT,94,,
,University of Puget Sound,,Washington,MOT,93,,
,University of Washington,,Washington,MOT,100,,
,West Virginia University,,West Virginia,OTD,100,,
,West Virginia University,,West Virginia,MOT,85,,
,Concordia University Wisconsin,,Wisconsin,OTD,100,,
,Marquette University,,Wisconsin,OTD,100,,
,Mount Mary University,,Wisconsin,OTD,100,,
,"University of Wisconsin, Madison",,Wisconsin,OTD,100,,
,Carroll University,,Wisconsin,MOT,100,,
,Concordia University Wisconsin,,Wisconsin,MOT,91,,
,Mount Mary University,,Wisconsin,MOT,88,,
,"University of Wisconsin, LaCrosse",,Wisconsin,MOT,100,,
,"University of Wisconsin, Milwaukee",,Wisconsin,MOT,93,,
