school_code,school_name,city,state,degree_type,board_pass_rate_first_time_2yr,board_pass_rate_ultimate_2yr,graduates_tested,program_length_months,tuition_per_year,tuition_instate,tuition_is_oos,total_program_cost,total_program_cost_instate,cost_source_url
0001,Old Dominion University,,Virginia,DPT,91.6,97.59,83.0,35.0,67747.0,,,176804.0,,https://www.odu.edu/sites/default/files/2024/documents/dpt-student-financial-fact-sheet-2024.pdf
0002,Virginia Commonwealth University,,Virginia,DPT,93.9,98.26,115.0,35.0,39907.0,20134.0,1.0,108550.0,58724.166666666664,https://pt.chp.vcu.edu/media/chp-college-of-health-professions/physical-therapy/docs/2025DPTStudentFinancialFactSheet.pdf
0008,Shenandoah University,,Virginia,DPT,86.1,100.0,79.0,32.0,,,,,,
0010,Marymount University,,Virginia,DPT,83.6,98.63,73.0,,,,,,,
0011,Hampton University,,Virginia,DPT,78.3,95.65,23.0,28.0,32724.0,,,117935.0,,https://home.hamptonu.edu/science/wp-content/uploads/sites/47/2024/10/DPT-Financial-Fact-Sheet-2024.pdf
0014,University of Lynchburg,,Virginia,DPT,83.7,100.0,92.0,30.0,42370.0,,,113165.0,,https://www.lynchburg.edu/wp-content/uploads/2024/01/Doctor-of-Physical-Therapy-Financial-Fact-Sheet-2023-24-1.pdf
0015,Radford University,,Virginia,DPT,94.4,98.15,54.0,30.0,51744.0,25676.0,1.0,144317.0,64190.0,https://www.radford.edu/waldron-college-health-human-services/physical-therapy-department/_documents/dpt-student-financial-fact-sheet.pdf
0017,Shenandoah University - EXPANSION PROGRAM at  Northern Virginia Campus,,Virginia,DPT,100.0,100.0,36.0,33.0,33075.0,,,129595.0,,https://www.su.edu/physical-therapy/wp-content/uploads/sites/15/2025/10/2025-dpt-student-financial-fact-sheet-Winchester.pdf
0020,Mary Baldwin University,,Virginia,DPT,82.5,98.25,57.0,33.0,35536.0,,,125715.0,,https://marybaldwin.edu/wp-content/uploads/2025/11/2025-dpt-student-financial-fact-sheet-1.docx.pdf
0021,Emory and Henry College,,Virginia,DPT,84.8,96.61,59.0,33.0,37896.0,,,122295.0,,https://www.emoryhenry.edu/live/blurbs/1791-financial-fact-sheet
