our_school_name,our_state,our_occupations,our_degree_types,our_school_code,match_score,unmatched_reason,scorecard_unitid,scorecard_name,scorecard_city,scorecard_state,ownership,school_url,locale,carnegie_basic,highest_degree,total_enrollment,admission_rate,pt_earnings_6yr_median,pt_earnings_10yr_median,pt_debt_median,pt_debt_monthly,pt_credential_level,ot_earnings_6yr_median,ot_earnings_10yr_median,ot_debt_median,ot_debt_monthly,ot_credential_level
A.T. Still University of Health Sciences,Arizona,Physical Therapists,DPT,0303,0.962,,177834,A T Still University of Health Sciences,Kirksville,MO,Private nonprofit,www.atsu.edu/,Town: Remote,25,4,,,,,,,,,,,,
"A.T. Still University, Arizona School of Health Sciences",Arizona,Occupational Therapists,"OTD,MOT",,0.0,no results,,,,,,,,,,,,,,,,,,,,,
Abilene Christian University,Texas,Occupational Therapists,"OTD,MOT",,1.0,,222178,Abilene Christian University,Abilene,TX,Private nonprofit,www.acu.edu/,City: Midsize,17,4,3129,0.6388,,,,,,,,,,
AdventHealth University,Florida,"Physical Therapists,Occupational Therapists","DPT,MOT",1057,1.0,,133872,AdventHealth University,Orlando,FL,Private nonprofit,www.ahu.edu/,City: Large,26,4,1068,,,,,,,,,,,
Alabama State University,Alabama,"Physical Therapists,Occupational Therapists","DPT,MOT",3310,1.0,,100724,Alabama State University,Montgomery,AL,Public,www.alasu.edu/,City: Midsize,17,4,3322,0.9564,,,,,,,,,,
Allen College,Iowa,"Physical Therapists,Occupational Therapists","DPT,MOT",1613,1.0,,152798,Allen College,Waterloo,IA,Private nonprofit,www.allencollege.edu/,City: Small,26,4,279,,,,,,,,,,,
Alvernia University,Pennsylvania,"Physical Therapists,Occupational Therapists","DPT,MOT",3941,1.0,,210775,Alvernia University,Reading,PA,Private nonprofit,https://www.alvernia.edu/,City: Small,17,4,2042,0.6232,,,,,,,,,,
American International College,Massachusetts,"Physical Therapists,Occupational Therapists","DPT,MOT",0220,1.0,,164447,American International College,Springfield,MA,Private nonprofit,www.aic.edu/,City: Midsize,17,4,1097,0.969,,,,,,,,,,
Anderson University,South Carolina,Physical Therapists,DPT,4112,1.0,,217633,Anderson University,Anderson,SC,Private nonprofit,https://www.andersonuniversity.edu/,City: Small,18,4,3080,0.5281,,,,,,,,,,
Andrews University,Michigan,Physical Therapists,DPT,2301,1.0,,168740,Andrews University,Berrien Springs,MI,Private nonprofit,https://www.andrews.edu/,Town: Fringe,17,4,1262,0.874,,,,,,,,,,
Angelo State University,Texas,Physical Therapists,DPT,4430,1.0,,222831,Angelo State University,San Angelo,TX,Public,www.angelo.edu/,City: Small,18,4,5515,0.7923,,,,,,,,,,
Arcadia University,Pennsylvania,Physical Therapists,DPT,3901,1.0,,211088,Arcadia University,Glenside,PA,Private nonprofit,https://www.arcadia.edu/,Suburb: Large,18,4,1799,0.7919,,,,,,,,,,
Arcadia University - Online Hybrid DPT Program,Pennsylvania,Physical Therapists,DPT,3945,0.0,no results,,,,,,,,,,,,,,,,,,,,,
Arkansas Colleges of Health Education,Arkansas,Physical Therapists,DPT,0413,1.0,,488527,Arkansas Colleges of Health Education,Fort Smith,AR,Private nonprofit,achehealth.edu/,City: Small,25,4,,,,,,,,,,,,
Arkansas State University,Arkansas,Physical Therapists,DPT,0405,1.0,,106458,Arkansas State University,Jonesboro,AR,Public,www.astate.edu/,City: Small,16,4,7994,0.6967,,,,,,,,,,
"Arkansas State University, Jonesboro",Arkansas,Occupational Therapists,OTD,,0.0,no results,,,,,,,,,,,,,,,,,,,,,
Army - Baylor University,Texas,Physical Therapists,DPT,4407,0.0,no results,,,,,,,,,,,,,,,,,,,,,
Augusta University,Georgia,"Physical Therapists,Occupational Therapists","DPT,MOT",1103,1.0,,482149,Augusta University,Augusta,GA,Public,www.augusta.edu/,City: Midsize,16,4,5282,0.8931,,,,,,,,,,
Augustana University,South Dakota,Physical Therapists,DPT,4203,1.0,,219000,Augustana University,Sioux Falls,SD,Private nonprofit,www.augie.edu/,City: Midsize,19,4,1818,0.5925,,,,,,,,,,
Azusa Pacific University,California,Physical Therapists,DPT,0523,1.0,,109785,Azusa Pacific University,Azusa,CA,Private nonprofit,www.apu.edu/,Suburb: Large,16,4,2977,0.7948,,,,,,,,,,
Baker College Center for Graduate Studies,Michigan,Occupational Therapists,MOT,,0.0,no results,,,,,,,,,,,,,,,,,,,,,
Barry University,Florida,Occupational Therapists,MOT,,1.0,,132471,Barry University,Miami,FL,Private nonprofit,www.barry.edu/,Suburb: Large,17,4,2245,0.5907,,,,,,,,,,
Bay Path University-East Longmeadow Campus,Massachusetts,Occupational Therapists,MOT,,0.0,no results,,,,,,,,,,,,,,,,,,,,,
Baylor University,Texas,"Physical Therapists,Occupational Therapists","DPT,OTD",4451,1.0,,223232,Baylor University,Waco,TX,Private nonprofit,www.baylor.edu/,City: Midsize,15,4,15007,0.5099,,,,,,,,,,
Bellarmine University,Kentucky,Physical Therapists,DPT,1808,1.0,,156286,Bellarmine University,Louisville,KY,Private nonprofit,https://www.bellarmine.edu/,City: Large,17,4,2286,0.9359,,,,,,,,,,
Bellin College,Wisconsin,Physical Therapists,DPT,4997,1.0,,238324,Bellin College,Green Bay,WI,Private nonprofit,https://www.bellincollege.edu/,Suburb: Midsize,26,4,338,1,,,,,,,,,,
Belmont University,Tennessee,"Physical Therapists,Occupational Therapists","DPT,OTD,MOT",4312,1.0,,219709,Belmont University,Nashville,TN,Private nonprofit,https://www.belmont.edu/,City: Large,17,4,7306,0.9636,,,,,,,,,,
Boston University,Massachusetts,Physical Therapists,DPT,0201,1.0,,164988,Boston University,Boston,MA,Private nonprofit,www.bu.edu/,City: Large,15,4,17850,0.1085,,,,,,,,,,
"Boston University, College of Health & Rehabilitation Sciences (Sargent College)",Massachusetts,Occupational Therapists,OTD,,0.0,no results,,,,,,,,,,,,,,,,,,,,,
Bowling Green State University,Ohio,Physical Therapists,DPT,3644,0.857,,201432,Bowling Green State University-Firelands,Huron,OH,Public,https://www.firelands.bgsu.edu/,Rural: Fringe,5,3,1134,,,,,,,,,,,
Bradley University,Illinois,Physical Therapists,DPT,1411,1.0,,143358,Bradley University,Peoria,IL,Private nonprofit,www.bradley.edu/,City: Midsize,17,4,3865,0.7666,,,,,,,,,,
Brenau University,Georgia,"Physical Therapists,Occupational Therapists","DPT,MOT",1118,1.0,,139199,Brenau University,Gainesville,GA,Private nonprofit,https://www.brenau.edu/,City: Small,17,4,981,0.8696,,,,,,,,,,
"Brenau University, North Atlanta, Norcross Campus",Georgia,Occupational Therapists,OTD,,0.0,no results,,,,,,,,,,,,,,,,,,,,,
Briar Cliff University,Iowa,Physical Therapists,DPT,1612,1.0,,152992,Briar Cliff University,Sioux City,IA,Private nonprofit,www.briarcliff.edu/,City: Small,17,4,626,,,,,,,,,,,
Cabarrus College of Health Sciences,North Carolina,Occupational Therapists,MOT,,1.0,,198109,Cabarrus College of Health Sciences,Concord,NC,Private nonprofit,https://cabarruscollege.edu/,City: Midsize,26,4,602,0.4921,,,,,,,,,,
"California State University, Dominguez Hills",California,Occupational Therapists,MOT,,0.966,,110547,California State University-Dominguez Hills,Carson,CA,Public,https://www.csudh.edu/,City: Small,18,4,12642,0.9132,,,,,,,,,,
"California State University, Fresno",California,Physical Therapists,DPT,0501,0.957,,110556,California State University-Fresno,Fresno,CA,Public,www.fresnostate.edu/,City: Large,16,4,21070,0.9638,,,,,,,,,,
"California State University, Long Beach",California,Physical Therapists,DPT,0502,0.961,,110583,California State University-Long Beach,Long Beach,CA,Public,www.csulb.edu/,City: Large,16,4,34131,0.4712,,,,,,,,,,
"California State University, Northridge",California,Physical Therapists,DPT,0503,0.961,,110608,California State University-Northridge,Northridge,CA,Public,https://www.csun.edu/,City: Large,18,4,32357,0.9315,,,,,,,,,,
"California State University, Sacramento",California,Physical Therapists,DPT,0521,0.961,,110617,California State University-Sacramento,Sacramento,CA,Public,https://www.csus.edu/,City: Large,18,4,27867,0.9362,,,,,,,,,,
Campbell University,North Carolina,Physical Therapists,DPT,3418,1.0,,198136,Campbell University,Buies Creek,NC,Private nonprofit,https://www.campbell.edu/,Town: Fringe,17,4,2790,0.9429,,,,,,,,,,
Carlow University,Pennsylvania,Occupational Therapists,MOT,,1.0,,211431,Carlow University,Pittsburgh,PA,Private nonprofit,www.carlow.edu/,City: Large,18,4,1336,0.871,,,,,,,,,,
Carroll University,Wisconsin,"Physical Therapists,Occupational Therapists","DPT,MOT",5011,1.0,,238458,Carroll University,Waukesha,WI,Private nonprofit,https://www.carrollu.edu/,City: Small,18,4,2525,0.5841,,,,,,,,,,
Cedar Crest College,Pennsylvania,Occupational Therapists,OTD,,1.0,,211468,Cedar Crest College,Allentown,PA,Private nonprofit,www.cedarcrest.edu/,City: Midsize,20,4,857,0.9913,,,,,,,,,,
Central Michigan University,Michigan,Physical Therapists,DPT,2315,1.0,,169248,Central Michigan University,Mount Pleasant,MI,Public,https://www.cmich.edu/,Town: Distant,16,4,9916,0.9101,,,,,,,,,,
Central Michigan University - EXPANSION PROGRAM  at Michigan Technological University,Michigan,Physical Therapists,DPT,2322,0.0,no results,,,,,,,,,,,,,,,,,,,,,
Chapman University,California,Physical Therapists,DPT,0504,1.0,,111948,Chapman University,Orange,CA,Private nonprofit,https://www.chapman.edu/,City: Midsize,16,4,7629,0.5561,,,,,,,,,,
Charleston Southern University,South Carolina,Physical Therapists,DPT,4113,1.0,,217688,Charleston Southern University,Charleston,SC,Private nonprofit,https://www.charlestonsouthern.edu/,City: Midsize,19,4,2716,0.7609,,,,,,,,,,
Chatham University,Pennsylvania,"Physical Therapists,Occupational Therapists","DPT,OTD",3921,1.0,,211556,Chatham University,Pittsburgh,PA,Private nonprofit,www.chatham.edu/,City: Large,17,4,1252,0.7011,,,,,,,,,,
Chicago State University,Illinois,Occupational Therapists,MOT,,1.0,,144005,Chicago State University,Chicago,IL,Public,www.csu.edu/,City: Large,18,4,1414,0.4052,,,,,,,,,,
Clarke University,Iowa,Physical Therapists,DPT,1608,1.0,,153126,Clarke University,Dubuque,IA,Private nonprofit,www.clarke.edu/,City: Small,17,4,782,0.6816,,,,,,,,,,
Clarkson University,New York,"Physical Therapists,Occupational Therapists","DPT,MOT",0137,1.0,,190044,Clarkson University,Potsdam,NY,Private nonprofit,https://www.clarkson.edu/,Town: Remote,16,4,2449,0.7716,,,,,,,,,,
Cleveland State University,Ohio,"Physical Therapists,Occupational Therapists","DPT,OTD",3601,1.0,,202134,Cleveland State University,Cleveland,OH,Public,www.csuohio.edu/,City: Large,16,4,9077,0.9548,,,,,,,,,,
College of Saint Mary,Nebraska,Occupational Therapists,"OTD,MOT",,1.0,,181604,College of Saint Mary,Omaha,NE,Private nonprofit,https://www.csm.edu/,City: Large,19,4,455,0.4395,,,,,,,,,,
College of St Scholastica,Minnesota,Physical Therapists,DPT,2401,0.877,,174899,The College of Saint Scholastica,Duluth,MN,Private nonprofit,www.css.edu/,City: Small,17,4,1725,0.9378,,,,,,,,,,
College of St. Mary,Nebraska,Physical Therapists,DPT,2809,0.9,,181604,College of Saint Mary,Omaha,NE,Private nonprofit,https://www.csm.edu/,City: Large,19,4,455,0.4395,,,,,,,,,,
College of St. Scholastica,Minnesota,Occupational Therapists,MOT,,0.862,,174899,The College of Saint Scholastica,Duluth,MN,Private nonprofit,www.css.edu/,City: Small,17,4,1725,0.9378,,,,,,,,,,
Colorado Mesa University,Colorado,Occupational Therapists,MOT,,1.0,,127556,Colorado Mesa University,Grand Junction,CO,Public,www.coloradomesa.edu/,City: Small,22,4,7604,0.8139,,,,,,,,,,
Colorado State University,Colorado,Occupational Therapists,MOT,,0.877,,128106,Colorado State University Pueblo,Pueblo,CO,Public,https://www.csupueblo.edu/,City: Midsize,19,4,3028,0.9984,,,,,,,,,,
Columbia University,New York,"Physical Therapists,Occupational Therapists","DPT,MOT",0101,0.655,,196468,Teachers College at Columbia University,New York,NY,Private nonprofit,www.tc.columbia.edu/,City: Large,16,4,,,,,,,,,,,,
Concordia University - Ann Arbor,Michigan,Physical Therapists,DPT,2327,0.968,,169363,Concordia University Ann Arbor,Ann Arbor,MI,Private nonprofit,https://www.cuaa.edu/,City: Midsize,20,4,918,0.7209,,,,,,,,,,
Concordia University - Saint Paul,Minnesota,Physical Therapists,DPT,2412,0.969,,173328,Concordia University-Saint Paul,Saint Paul,MN,Private nonprofit,https://www.csp.edu/,City: Large,18,4,2786,0.7487,,,,,,,,,,
Concordia University Wisconsin,Wisconsin,"Physical Therapists,Occupational Therapists","DPT,OTD,MOT",5008,0.967,,238616,Concordia University-Wisconsin,Mequon,WI,Private nonprofit,https://www.cuw.edu/,Suburb: Large,17,4,2310,0.6753,,,,,,,,,,
Concordia University Wisconsin - Expansion Program,Wisconsin,Physical Therapists,DPT,4996,0.0,no results,,,,,,,,,,,,,,,,,,,,,
Cox College,Missouri,Occupational Therapists,MOT,,1.0,,176770,Cox College,Springfield,MO,Private nonprofit,https://coxcollege.edu/,City: Midsize,26,4,634,0.7143,,,,,,,,,,
Creighton University,Nebraska,"Physical Therapists,Occupational Therapists","DPT,OTD",2804,1.0,,181002,Creighton University,Omaha,NE,Private nonprofit,https://www.creighton.edu/,City: Large,16,4,4231,0.7231,,,,,,,,,,
Creighton University-Arizona Health Education Alliance,Arizona,Physical Therapists,DPT,0313,0.0,no results,,,,,,,,,,,,,,,,,,,,,
D'youville College,New York,Physical Therapists,DPT,0121,0.0,no results,,,,,,,,,,,,,,,,,,,,,
Daemen University,New York,Physical Therapists,DPT,0102,1.0,,190725,Daemen University,Amherst,NY,Private nonprofit,www.daemen.edu/,Suburb: Large,17,4,1761,0.7616,,,,,,,,,,
Davenport University,Michigan,Occupational Therapists,MOT,,1.0,,169479,Davenport University,Grand Rapids,MI,Private nonprofit,www.davenport.edu/,Suburb: Large,18,4,3213,0.9705,,,,,,,,,,
DePaul University,Illinois,Occupational Therapists,MOT,,1.0,,144740,DePaul University,Chicago,IL,Private nonprofit,https://www.depaul.edu/,City: Large,16,4,14283,0.7353,,,,,,,,,,
DeSales University,Pennsylvania,Physical Therapists,DPT,3942,0.0,no results,,,,,,,,,,,,,,,,,,,,,
