state,program_type,school,pass_rate
Alabama,OT Doctoral-Level Programs,University of Alabama at Birmingham,91
Alabama,OT Masters-Level Programs,Alabama State University,94
Alabama,OT Masters-Level Programs,Tuskegee University,63
Alabama,OT Masters-Level Programs,University of Alabama at Birmingham,100
Alabama,OT Masters-Level Programs,University of South Alabama,100
Alabama,OTA Level Program,Wallace State Community College,95
Arizona,OT Doctoral-Level Programs,"A.T. Still University, Arizona School of Health Sciences",100
Arizona,OT Doctoral-Level Programs,"Huntington University, Peoria",94
Arizona,OT Doctoral-Level Programs,Northern Arizona University,95
Arizona,OT Masters-Level Programs,"A.T. Still University, Arizona School of Health Sciences",100
Arizona,OT Masters-Level Programs,"Midwestern University, Glendale",100
Arizona,OTA Level Program,"Brookline College, Phoenix Campus",100
Arizona,OTA Level Program,GateWay Community College,90
Arizona,OTA Level Program,"Pima Medical Institute, Mesa",81
Arizona,OTA Level Program,"Pima Medical Institute, Tucson",100
Arkansas,OT Doctoral-Level Programs,"Arkansas State University, Jonesboro",83
Arkansas,OT Doctoral-Level Programs,University of Arkansas - Fayetteville / University of Arkansas for Medical Sciences,96
Arkansas,OT Doctoral-Level Programs,University of Central Arkansas,96
Arkansas,OTA Level Program,"Arkansas State University, Jonesboro",87
Arkansas,OTA Level Program,"Arkansas Tech University, Ozark Campus",60
Arkansas,OTA Level Program,Baptist Health College Little Rock,94
Arkansas,OTA Level Program,Cossatot Community College of the University of Arkansas,83
California,OT Doctoral-Level Programs,Samuel Merritt University,91
California,OT Doctoral-Level Programs,"University of St. Augustine for Health Sciences, California Campus",86
California,OT Doctoral-Level Programs,"University of the Pacific, Sacramento",87
California,OT Doctoral-Level Programs,"West Coast University, Los Angeles",91
California,OT Masters-Level Programs,"California State University, Dominguez Hills",98
California,OT Masters-Level Programs,Dominican University of California,93
California,OT Masters-Level Programs,Loma Linda University Health,96
California,OT Masters-Level Programs,Samuel Merritt University,50
California,OT Masters-Level Programs,San Jose State University,97
California,OT Masters-Level Programs,Stanbridge University,97
California,OT Masters-Level Programs,University of Southern California,76
California,OT Masters-Level Programs,"University of St. Augustine for Health Sciences, California Campus",86
California,OT Masters-Level Programs,"West Coast University, Los Angeles",95
California,OTA Level Program,"American Career College, Orange County Campus",84
California,OTA Level Program,CBD College,72
