State,School Code,School,Weighted Average Ultimate Pass Rate 2022-2023,# Graduates who took the NPTE 2022-2023,Weighted Average Ultimate Pass Rate 2023-2024,# Graduates who took the NPTE 2023-2024,Test Takers From 2022,Test Takers From 2023,Test Takers From 2024
AL,3310,Alabama State University (PT),91.11,45,89.36,47,Yes,Yes,Yes
AL,3317,Faulkner University (PT),*,0,*,28,No,No,Yes
AL,3315,Samford University (PT),100.00,71,100.00,73,Yes,Yes,Yes
AL,3301,University of Alabama at Birmingham (PT),98.06,103,98.06,103,Yes,Yes,Yes
AL,3302,University of South Alabama (PT),100.00,77,98.70,77,Yes,Yes,Yes
AR,0413,Arkansas Colleges of Health Education (PT),*,0,*,28,No,No,Yes
AR,0405,Arkansas State University (PT),98.11,53,100.00,53,Yes,Yes,Yes
AR,0409,Harding University (PT),98.41,63,100.00,54,Yes,Yes,Yes
AR,0410,University of Arkansas for Medical Sciences (PT),100.00,47,100.00,45,Yes,Yes,Yes
AR,0401,University of Central Arkansas (PT),99.15,117,100.00,113,Yes,Yes,Yes
AZ,0303,A.T. Still University of Health Sciences (PT),100.00,125,100.00,120,Yes,Yes,Yes
AZ,0313,Creighton University-Arizona Health Education Alliance (PT),*,0,*,0,No,No,No
AZ,0307,Franklin Pierce University - AZ (PT),97.98,99,92.86,126,Yes,Yes,Yes
AZ,0312,Midwestern University - AZ (PT),98.00,100,96.97,99,Yes,Yes,Yes
AZ,0301,Northern Arizona University (PT),97.85,93,98.90,91,Yes,Yes,Yes
AZ,0310,Northern Arizona University - EXPANSION PROGRAM in PHOENIX (PT),98.98,98,100.00,96,Yes,Yes,Yes
AZ,0316,Northern Arizona University - Hybrid Expansion Program (PT),*,0,*,0,No,No,No
AZ,0314,Tufts University – Phoenix (PT),*,0,*,58,No,No,Yes
CA,0523,Azusa Pacific University (PT),98.60,143,99.26,136,Yes,Yes,Yes
CA,0501,"California State University, Fresno (PT)",100.00,67,100.00,66,Yes,Yes,Yes
CA,0502,"California State University, Long Beach (PT)",100.00,66,100.00,73,Yes,Yes,Yes
CA,0503,"California State University, Northridge (PT)",100.00,61,98.31,59,Yes,Yes,Yes
CA,0521,"California State University, Sacramento (PT)",100.00,58,98.36,61,Yes,Yes,Yes
CA,0504,Chapman University (PT),99.34,152,98.68,151,Yes,Yes,Yes
CA,0505,Loma Linda University (PT),98.37,123,99.10,111,Yes,Yes,Yes
CA,0506,Mount Saint Mary`s University (PT),100.00,64,100.00,55,Yes,Yes,Yes
CA,0516,Samuel Merritt University (PT),98.89,90,98.86,88,Yes,Yes,Yes
CA,0537,San Diego State University (PT),98.67,75,98.65,74,Yes,Yes,Yes
CA,0507,University of CA / San Francisco State University (PT),100.00,101,100.00,97,Yes,Yes,Yes
CA,0509,University of Southern California (PT),99.48,191,99.50,202,Yes,Yes,Yes
CA,0548,University of Southern California – Hybrid DPT Program (PT),97.78,90,96.91,97,Yes,Yes,Yes
CA,0522,University of St Augustine for Health Sciences - California (PT),98.95,381,97.83,369,Yes,Yes,Yes
CA,0528,University of St Augustine for Health Sciences - ONLINE FLEX EXPANSION PROGRAM in San Diego (PT),98.98,98,96.00,100,Yes,Yes,Yes
CA,0508,University of The Pacific (PT),97.18,71,97.22,72,Yes,Yes,Yes
CA,0540,West Coast University (PT),96.55,87,97.50,80,Yes,Yes,Yes
CA,0517,Western University of Health Sciences - California (PT),100.00,96,100.00,102,Yes,Yes,Yes
CO,0606,Regis University (PT),98.79,165,99.38,162,Yes,Yes,Yes
CO,0601,University of Colorado (PT),99.27,137,99.30,143,Yes,Yes,Yes
CT,0701,Quinnipiac University (PT),99.32,147,100.00,122,Yes,Yes,Yes
CT,0706,Sacred Heart University (PT),100.00,118,100.00,132,Yes,Yes,Yes
CT,0702,University of Connecticut (PT),100.00,58,100.00,57,Yes,Yes,Yes
CT,0704,University of Hartford (PT),100.00,71,100.00,67,Yes,Yes,Yes
DC,0902,George Washington University (PT),100.00,89,100.00,89,Yes,Yes,Yes
DC,0901,Howard University (PT),96.00,25,96.15,26,Yes,Yes,Yes
DE,0801,University of Delaware (PT),*,113,100.00,170,No,Yes,Yes
FL,1057,AdventHealth University (PT),100.00,40,100.00,42,Yes,Yes,Yes
FL,1001,Florida Agricultural and Mechanical University (PT),100.00,46,91.11,45,Yes,Yes,Yes
FL,1029,Florida Gulf Coast University (PT),100.00,52,100.00,56,Yes,Yes,Yes
FL,1002,Florida International University (PT),99.14,116,97.48,119,Yes,Yes,Yes
FL,1060,Florida Southern College (PT),97.01,67,95.59,68,Yes,Yes,Yes
FL,1053,Gannon University - Florida (PT),98.11,53,98.00,50,Yes,Yes,Yes
FL,1017,Nova Southeastern University - Ft Lauderdale (PT),100.00,92,100.00,86,Yes,Yes,Yes
FL,1035,Nova Southeastern University - Tampa (PT),100.00,82,100.00,79,Yes,Yes,Yes
FL,1016,University of Central Florida (PT),98.67,75,100.00,77,Yes,Yes,Yes
FL,1003,University of Florida (PT),98.63,146,99.32,148,Yes,Yes,Yes
FL,1004,University of Miami (PT),98.33,120,98.25,114,Yes,Yes,Yes
FL,1014,University of North Florida (PT),98.31,59,98.28,58,Yes,Yes,Yes
FL,1030,University of South Florida (PT),100.00,95,100.00,92,Yes,Yes,Yes
FL,1052,University of St Augustine for Health Sciences - EXPANSION PROGRAM in Miami (PT),97.56,287,95.47,265,Yes,Yes,Yes
FL,1019,University of St Augustine for Health Sciences - Florida (PT),98.17,273,98.89,271,Yes,Yes,Yes
FL,1036,University of St Augustine for Health Sciences - ONLINE FLEX EXPANSION PROGRAM in Florida (PT),93.67,79,93.90,82,Yes,Yes,Yes
GA,1103,Augusta University (PT),100.00,71,98.59,71,Yes,Yes,Yes
GA,1118,Brenau University (PT),100.00,78,100.00,79,Yes,Yes,Yes
GA,1101,Emory University (PT),100.00,134,99.15,118,Yes,Yes,Yes
GA,1109,Georgia Southern University (PT),98.57,70,98.53,68,Yes,Yes,Yes
GA,1102,Georgia State University (PT),100.00,86,100.00,83,Yes,Yes,Yes
GA,1115,Mercer University (PT),100.00,75,100.00,74,Yes,Yes,Yes
GA,1119,Philadelphia College of Osteopathic Medicine (PT),100.00,78,100.00,76,Yes,Yes,Yes
GA,1121,South College – Atlanta (PT),*,0,*,0,No,No,No
GA,1107,University of North Georgia (PT),100.00,61,100.00,59,Yes,Yes,Yes
GBR,6231,Robert Gordon University - DPT,*,1,*,3,No,Yes,Yes
HI,1202,Hawaii Pacific University (PT),*,0,*,92,No,No,Yes
IA,1613,Allen College (PT),*,5,100.00,13,No,Yes,Yes
IA,1612,Briar Cliff University (PT),98.25,57,96.43,56,Yes,Yes,Yes
IA,1608,Clarke University (PT),100.00,57,100.00,51,Yes,Yes,Yes
IA,1602,Des Moines University - Osteopathic Medical Center (PT),100.00,104,100.00,102,Yes,Yes,Yes
IA,1605,St Ambrose University (PT),98.55,69,100.00,65,Yes,Yes,Yes
IA,1601,University of Iowa (PT),100.00,88,100.00,93,Yes,Yes,Yes
ID,1301,Idaho State University (PT),97.78,90,100.00,90,Yes,Yes,Yes
IL,1411,Bradley University (PT),100.00,54,98.18,55,Yes,Yes,Yes
IL,1420,Governors State University (PT),98.48,66,94.92,59,Yes,Yes,Yes
IL,1417,Midwestern University - IL (PT),97.87,94,98.89,90,Yes,Yes,Yes
IL,1429,North Central College (PT),*,0,*,0,No,No,No
IL,1401,Northern Illinois University (PT),95.31,64,96.23,53,Yes,Yes,Yes
IL,1402,Northwestern University (PT),100.00,185,98.89,180,Yes,Yes,Yes
IL,1403,Rosalind Franklin University of Medicine and Science (PT),100.00,145,96.63,89,Yes,Yes,Yes
IL,1405,University of Illinois at Chicago (PT),99.12,114,99.12,113,Yes,Yes,Yes
IN,1516,Hanover College (PT),*,72,83.54,164,No,Yes,Yes
IN,1514,Indiana State University (PT),100.00,53,100.00,51,Yes,Yes,Yes
IN,1501,Indiana University (PT),100.00,86,100.00,82,Yes,Yes,Yes
IN,1517,Indiana Wesleyan University (PT),*,0,*,19,No,No,Yes
IN,1513,Trine University (PT),100.00,66,100.00,73,Yes,Yes,Yes
IN,1502,University of Evansville (PT),100.00,91,100.00,93,Yes,Yes,Yes
IN,1507,University of Indianapolis (PT),100.00,96,97.75,89,Yes,Yes,Yes
KS,1701,University of Kansas Medical Center (PT),100.00,115,99.15,118,Yes,Yes,Yes
KS,1710,University of Saint Mary (PT),99.15,117,100.00,78,Yes,Yes,Yes
KS,1702,Wichita State University (PT),100.00,80,100.00,83,Yes,Yes,Yes
KY,1808,Bellarmine University (PT),100.00,142,99.29,141,Yes,Yes,Yes
KY,1801,University of Kentucky (PT),97.58,124,100.00,123,Yes,Yes,Yes
KY,1813,University of the Cumberlands (PT),*,0,*,22,No,No,Yes
KY,1810,Western Kentucky University (PT),100.00,59,98.33,60,Yes,Yes,Yes
LA,1907,Franciscan Missionaries of Our Lady University (PT),98.70,77,98.67,75,Yes,Yes,Yes
LA,1901,Louisiana State Univ Health Sciences Center - New Orleans (PT),98.44,64,96.83,63,Yes,Yes,Yes
LA,1905,Louisiana State Univ Health Sciences Center - Shreveport (PT),100.00,71,100.00,69,Yes,Yes,Yes
MA,0220,American International College (PT),98.31,59,96.15,52,Yes,Yes,Yes
