State,School Code,School,First-Time Pass Rate  2023-2024,Graduates who took  the NPTE 2023-2024
AL,3301,University of Alabama at Birmingham,89.2,102
AL,3302,University of South Alabama,97.4,77
AL,3310,Alabama State University,55.3,47
AL,3315,Samford University,86.3,73
AL,3317,Faulkner University,53.6,28
AR,0401,University of Central Arkansas,92.9,113
AR,0405,Arkansas State University,86.8,53
AR,0409,Harding University,96.3,54
AR,0410,University of Arkansas for Medical Sciences,100.0,45
AR,0413,Arkansas Colleges of Health Education,42.9,28
AZ,0301,Northern Arizona University,81.1,90
AZ,0303,A.T. Still University of Health Sciences,83.3,120
AZ,0307,Franklin Pierce University - AZ,63.5,126
AZ,0310,Northern Arizona University - EXPANSION PROGRAM  in PHOENIX,88.4,95
AZ,0312,Midwestern University - AZ,79.8,99
AZ,0314,Tufts University - Phoenix,51.7,58
CA,0501,"California State University, Fresno",89.1,64
CA,0502,"California State University, Long Beach",98.6,71
CA,0503,"California State University, Northridge",94.9,59
CA,0504,Chapman University,88.6,149
CA,0505,Loma Linda University,87.3,110
CA,0506,Mount Saint Mary's University,88.7,53
CA,0507,University of CA / San Francisco State University,85.6,97
CA,0508,University of The Pacific,79.2,72
CA,0509,University of Southern California,86.6,202
CA,0516,Samuel Merritt University,80.7,88
CA,0517,Western University of Health Sciences - California,77.5,102
CA,0521,"California State University, Sacramento",95.1,61
CA,0522,University of St Augustine for Health Sciences -  California,76.6,367
CA,0523,Azusa Pacific University,84.2,133
CA,0528,University of St Augustine for Health Sciences  ONLINE FLEX EXPANSION PROGRAM in San Diego,63.2,95
CA,0537,San Diego State University,91.9,74
CA,0540,West Coast University,77.5,80
CA,0548,University of Southern California - Hybrid DPT  Program,81.3,96
CO,0601,University of Colorado,87.1,139
CO,0606,Regis University,87.7,162
CT,0701,Quinnipiac University,96.7,122
CT,0702,University of Connecticut,86.0,57
CT,0704,University of Hartford,88.1,67
CT,0706,Sacred Heart University,89.4,132
DC,0901,Howard University,79.2,24
DC,0902,George Washington University,96.6,89
DE,0801,University of Delaware,95.8,167
FL,1001,Florida Agricultural and Mechanical University,73.3,45
FL,1002,Florida International University,79.8,119
FL,1003,University of Florida,89.9,148
FL,1004,University of Miami,90.4,114
FL,1014,University of North Florida,84.5,58
FL,1016,University of Central Florida,97.4,77
FL,1017,Nova Southeastern University - Ft Lauderdale,97.7,86
FL,1019,University of St Augustine for Health Sciences - Florida,82.4,261
FL,1029,Florida Gulf Coast University,96.4,56
FL,1030,University of South Florida,96.7,92
FL,1035,Nova Southeastern University - Tampa,94.9,78
FL,1036,University of St Augustine for Health Sciences -  ONLINE FLEX EXPANSION PROGRAM in Florida,77.5,80
FL,1052,University of St Augustine for Health Sciences -  EXPANSION PROGRAM in Miami,69.5,249
FL,1053,Gannon University - Florida,83.7,49
FL,1057,AdventHealth University,83.3,42
FL,1060,Florida Southern College,83.1,65
GA,1101,Emory University,94.1,118
