program_id,school_name,city,state,degree_type
302,Alabama State University,,Alabama,MOT
303,Tuskegee University,,Alabama,MOT
304,University of Alabama at Birmingham,,Alabama,MOT
301,University of Alabama at Birmingham,,Alabama,OTD
305,University of South Alabama,,Alabama,MOT
309,"A.T. Still University, Arizona School of Health Sciences",,Arizona,MOT
306,"A.T. Still University, Arizona School of Health Sciences",,Arizona,OTD
307,"Huntington University, Peoria",,Arizona,OTD
310,"Midwestern University, Glendale",,Arizona,MOT
308,Northern Arizona University,,Arizona,OTD
311,"Arkansas State University, Jonesboro",,Arkansas,OTD
312,University of Arkansas - Fayetteville / University of Arkansas for Medical Sciences,,Arkansas,OTD
313,University of Central Arkansas,,Arkansas,OTD
318,"California State University, Dominguez Hills",,California,MOT
319,Dominican University of California,,California,MOT
320,Loma Linda University Health,,California,MOT
321,Samuel Merritt University,,California,MOT
314,Samuel Merritt University,,California,OTD
322,San Jose State University,,California,MOT
323,Stanbridge University,,California,MOT
324,University of Southern California,,California,MOT
325,"University of St. Augustine for Health Sciences, California Campus",,California,MOT
315,"University of St. Augustine for Health Sciences, California Campus",,California,OTD
316,"University of the Pacific, Sacramento",,California,OTD
326,"West Coast University, Los Angeles",,California,MOT
317,"West Coast University, Los Angeles",,California,OTD
327,Colorado Mesa University,,Colorado,MOT
328,Colorado State University,,Colorado,MOT
330,Quinnipiac University,,Connecticut,MOT
329,Quinnipiac University,,Connecticut,OTD
331,Sacred Heart University,,Connecticut,MOT
332,University of Hartford,,Connecticut,MOT
333,Delaware State University,,Delaware,MOT
334,Howard University,,District of Columbia,OTD
335,Trinity Washington University,,District of Columbia,MOT
342,AdventHealth University,,Florida,MOT
343,Barry University,,Florida,MOT
344,Florida Agricultural and Mechanical University,,Florida,MOT
345,Florida Gulf Coast University,,Florida,MOT
346,Florida International University,,Florida,MOT
336,Gannon University-Florida Campus,,Florida,OTD
337,Jacksonville University,,Florida,OTD
347,"Keiser University, Fort Myers",,Florida,MOT
348,"Keiser University, Ft. Lauderdale Campus",,Florida,MOT
349,"Nova Southeastern University, Ft. Lauderdale",,Florida,MOT
338,"Nova Southeastern University, Tampa Bay Regional Campus",,Florida,OTD
339,University of Florida,,Florida,OTD
350,"University of St. Augustine for Health Sciences, Miami Campus",,Florida,MOT
340,"University of St. Augustine for Health Sciences, Miami Campus",,Florida,OTD
351,"University of St. Augustine for Health Sciences, St. Augustine Campus",,Florida,MOT
341,"University of St. Augustine for Health Sciences, St. Augustine Campus",,Florida,OTD
354,Augusta University,,Georgia,MOT
355,Brenau University,,Georgia,MOT
352,"Brenau University, North Atlanta, Norcross Campus",,Georgia,OTD
353,Georgia State University,,Georgia,OTD
356,Middle Georgia State University,,Georgia,MOT
357,Idaho State University,,Idaho,MOT
360,Chicago State University,,Illinois,MOT
361,DePaul University,,Illinois,MOT
362,Elmhurst University,,Illinois,MOT
363,Governors State University,,Illinois,MOT
364,Lewis University,,Illinois,MOT
358,"Midwestern University, Downers Grove",,Illinois,OTD
365,North Central College,,Illinois,MOT
359,Rush University,,Illinois,OTD
366,University of Illinois Chicago,,Illinois,MOT
367,Huntington University,,Indiana,OTD
371,Indiana State University,,Indiana,MOT
368,Indiana University,,Indiana,OTD
372,"Indiana University, South Bend",,Indiana,MOT
369,Indiana Wesleyan University,,Indiana,OTD
373,University of Indianapolis,,Indiana,MOT
370,University of Indianapolis,,Indiana,OTD
374,University of Southern Indiana,,Indiana,MOT
377,Allen College,,Iowa,MOT
375,Drake University,,Iowa,OTD
376,St. Ambrose University,,Iowa,OTD
378,University of Kansas Medical Center,,Kansas,OTD
379,"University of Saint Mary, Leavenworth",,Kansas,OTD
382,Eastern Kentucky University,,Kentucky,MOT
380,Eastern Kentucky University,,Kentucky,OTD
383,"Murray State University, Paducah Regional Campus",,Kentucky,MOT
381,Spalding University,,Kentucky,OTD
384,Louisiana State University Health New Orleans,,Louisiana,MOT
385,University of Louisiana at Monroe,,Louisiana,MOT
386,Husson University,,Maine,MOT
387,University of New England,,Maine,MOT
388,University of Southern Maine at Lewiston-Auburn College,,Maine,MOT
