program_id,school_name,city,state,degree_type,program_url,url_status,search_attempts,url_confidence,discovered_url,discovered_url_2,search_query_used,scrape_notes,estimated_year,validation_status,rejection_reason,graduation_rate_pct,cohort_size,nbcot_pass_rate_pct,data_year,employment_rate_pct
302,Alabama State University,,Alabama,MOT,,url_found,3,medium,https://www.collegeraptor.com/colleges/academics/Alabama-State-University-AL--100724,https://www.alasu.edu/_qa/IPEDS%20Winter%20Collection%20Graduation%20%20Rates%202019-2020.pdf,Alabama State University Master of Occupational Therapy program outcomes cohort graduation rate,,,rejected,"This page contains general institutional data for Alabama State University, not specific outcomes data for the Master of Occupational Therapy program. While the page confirms that Alabama State University has an accredited OTM (Occupational Therapy Master's) program, it does not provide program-specific graduation rates, NBCOT pass rates, cohort sizes, or employment rates for the MOT program.",,,,,
303,Tuskegee University,,Alabama,MOT,,url_found,3,high,https://www.tuskegee.edu/Content/Uploads/Tuskegee/files/curriculumatOccupationalTherapy.pdf,https://www.tuskegee.edu/academics/colleges-schools/sonah/OTGradhandbook2025_2.pdf,Tuskegee University Master of Occupational Therapy Publication of Program Outcomes,,,rejected,"This page contains curriculum information for Tuskegee University's Master of Occupational Therapy program, but does not contain any outcomes data such as graduation rates, NBCOT pass rates, cohort sizes, or employment rates.",,,,,
304,University of Alabama at Birmingham,,Alabama,MOT,,url_found,3,medium,https://www.matc.edu/course-catalog/healthcare/documents/ota-program-outcomes-2024.pdf,https://www.keiseruniversity.edu/wp-content/uploads/grad-programs/MSOT-Program-Outcomes.pdf,University of Alabama at Birmingham Master of Occupational Therapy program outcomes cohort graduation rate,,2024,rejected,"This page contains outcomes data for an OTA (Occupational Therapy Assistant) program at Milwaukee Area Technical College, not for the Master of Occupational Therapy (MOT) program at University of Alabama at Birmingham. OTA programs are associate-level programs and are explicitly excluded.",,,,,
301,University of Alabama at Birmingham,,Alabama,OTD,,url_found,3,medium,https://www.matc.edu/course-catalog/healthcare/documents/ota-program-outcomes-2024.pdf,https://www.keiseruniversity.edu/wp-content/uploads/as-programs/AA-OTA-Outcomes.pdf,University of Alabama at Birmingham Doctor of Occupational Therapy program outcomes cohort graduation rate,,2024,rejected,"This page contains data for an OTA (Occupational Therapy Assistant) program at Milwaukee Area Technical College, not for University of Alabama at Birmingham's Doctor of Occupational Therapy (OTD) graduate program. OTA programs are associate-level, not graduate-level programs.",,,,,
305,University of South Alabama,,Alabama,MOT,,url_found,3,high,https://bulletin.southalabama.edu/programs-az/allied-health/occupational-therapy/occupational-therapy-ms/occupational-therapy-ms.pdf,https://bulletin.southalabama.edu/programs-az/allied-health/occupational-therapy/occupational-therapy.pdf,University of South Alabama Master of Occupational Therapy Publication of Program Outcomes,,,rejected,"Page contains curriculum and degree requirements information but does not contain outcomes data such as graduation rate, NBCOT pass rate, cohort size, or employment rate for the Master of Occupational Therapy program.",,,,,
309,"A.T. Still University, Arizona School of Health Sciences",,Arizona,MOT,,url_found,3,high,https://www.collegetuitioncompare.com/edu/177834/a-t-still-university-of-health-sciences/accreditation/at-still-university-of-health-sciences-atsu-arizona-campus/,https://www.atsu.edu/arizona-school-of-health-sciences/academics/occupational-therapy-masters-degree,"A.T. Still University, Arizona School of Health Sciences MOT ACOTE outcomes data",,,rejected,"Page contains accreditation information only, not outcomes data. Does not include graduation rate, NBCOT pass rate, cohort size, or employment rate for the Master of Occupational Therapy program.",,,,,
306,"A.T. Still University, Arizona School of Health Sciences",,Arizona,OTD,,url_found,3,high,https://ws.edu/_resources/pdfs/academics/health-programs/occupational/2025/OTA-Program-Outcomes-Spring-2025.pdf,https://www.semanticscholar.org/paper/Outcomes-from-an-Entry-level-Occupational-Therapy-Williamson-Ivy/100299b65415b7af5ac2310b3c8f822af2af4abe,"A.T. Still University, Arizona School of Health Sciences Doctor of Occupational Therapy Publication of Program Outcomes",,2025,rejected,"This page contains outcomes data for an OTA (Occupational Therapy Assistant) program, not a graduate-level Doctor of Occupational Therapy (OTD) program. The document explicitly states 'WSCC OTA Program Outcomes' and references 'OTA Program Graduates', which is an associate-level program that does not meet the requirement for graduate OT program data.",,,,,
307,"Huntington University, Peoria",,Arizona,OTD,,url_found,3,medium,https://www.keiseruniversity.edu/wp-content/uploads/as-programs/AA-OTA-Outcomes.pdf,https://www.huntington.edu/graduate/occupational-therapy,"Huntington University, Peoria Doctor of Occupational Therapy program outcomes cohort graduation rate",,,rejected,"This page contains outcomes data for Keiser University's Associate-level OTA (Occupational Therapy Assistant) program across multiple campuses, not for Huntington University, Peoria's Doctor of Occupational Therapy (OTD) graduate program. The document explicitly states this is for the 'AS, OTA PROGRAM' which is an associate-level program that should be rejected per instructions.",,,,,
310,"Midwestern University, Glendale",,Arizona,MOT,,url_found,3,high,https://catalog.il.midwestern.edu/curriculum-outcomes,https://www.midwestern.edu/academics/degrees-programs/college-health-sciences/master-occupational-therapy-program/master-occupational-therapy-glendale-campus,"Midwestern University, Glendale Master of Occupational Therapy Publication of Program Outcomes",,,rejected,"Page contains curriculum outcomes for the College of Pharmacy, not outcomes data for the Master of Occupational Therapy (MOT) program. No graduation rates, NBCOT pass rates, cohort sizes, or employment rates are present.",,,,,
308,Northern Arizona University,,Arizona,OTD,,url_found,3,high,https://www.keiseruniversity.edu/wp-content/uploads/as-programs/AA-OTA-Outcomes.pdf,https://in.nau.edu/wp-content/uploads/sites/129/2025/04/B.pdf,Northern Arizona University Doctor of Occupational Therapy program outcomes cohort graduation rate,,,rejected,"This page contains outcomes data for Keiser University's OTA (Occupational Therapy Assistant) program, not Northern Arizona University's Doctor of Occupational Therapy (OTD) program. OTA is an associate-level program, which does not match the requested graduate-level OTD program.",,,,,
311,"Arkansas State University, Jonesboro",,Arkansas,OTD,,url_found,3,medium,https://occupationaltherapy.uark.edu/accreditation-outcomes.php,https://www.astate.edu/programs/otd-in-occupational-therapy.html,"Arkansas State University, Jonesboro OTD ACOTE outcomes data",,,rejected,"This page is from University of Arkansas, not Arkansas State University, Jonesboro. The URL and content clearly indicate this is the University of Arkansas occupational therapy program, not the Arkansas State University, Jonesboro program as specified.",,,,,
312,University of Arkansas - Fayetteville / University of Arkansas for Medical Sciences,,Arkansas,OTD,,url_found,3,medium,https://occupationaltherapy.uark.edu/accreditation-outcomes.php,https://catalog.uark.edu/graduatecatalog/programsofstudy/clinical-occupational-therapy/clinical-occupational-therapy.pdf,University of Arkansas - Fayetteville / University of Arkansas for Medical Sciences Doctor of Occupational Therapy program outcomes cohort graduation rate,,,valid,,88.0,79,97.2,2023-2025,
313,University of Central Arkansas,,Arkansas,OTD,,url_found_low_confidence,3,low,https://uca.edu/accreditation/files/2016/09/hlc17-5-assessment-a-students-0001.pdf,https://uca.edu/ot/program-outcomes/,University of Central Arkansas Doctor of Occupational Therapy Publication of Program Outcomes,,2016,rejected,"The page contains outcomes data for the Master of Science in Occupational Therapy program (2013-2015 cohorts), not the Doctor of Occupational Therapy (OTD) program. The document explicitly states the OTD program is applicant-status only and cannot admit students until Candidacy Status is granted by ACOTE (anticipated January 2017). The graduation and NBCOT pass rate data shown are from the Master's program, not the OTD program.",,,,,
318,"California State University, Dominguez Hills",,California,MOT,,url_found,3,medium,https://www.csudh.edu/clinical-science/about-us/program-outcomes-accreditation/,https://www.csudh.edu/ot/nbcot/,"California State University, Dominguez Hills MOT ACOTE outcomes data",,,rejected,"This page contains outcomes data for Medical Technology/MLS and Cytotechnology programs, not for the Master of Occupational Therapy (MOT) program. No occupational therapy program data is present on this page.",,,,,
319,Dominican University of California,,California,MOT,,url_found,3,high,https://www.dominican.edu/art-therapy-program-summary-outcomes,https://www.dominican.edu/academics/graduate-programs/doctor-occupational-therapy-otd,Dominican University of California MOT ACOTE outcomes data,,,rejected,"This page contains outcomes data for the Master's in Art Therapy program (MAAT, MAATA, MAMFT), not for the Master of Occupational Therapy (MOT) program.",,,,,
