program_id,school_name,city,state,degree_type,url_status,url_confidence,acota_program_url,acota_match_name,acota_match_score,discovery_notes,last_updated
302,Alabama State University,,Alabama,MOT,pending,,,,,,
303,Tuskegee University,,Alabama,MOT,pending,,,,,,
304,University of Alabama at Birmingham,,Alabama,MOT,pending,,,,,,
301,University of Alabama at Birmingham,,Alabama,OTD,pending,,,,,,
305,University of South Alabama,,Alabama,MOT,pending,,,,,,
309,"A.T. Still University, Arizona School of Health Sciences",,Arizona,MOT,pending,,,,,,
306,"A.T. Still University, Arizona School of Health Sciences",,Arizona,OTD,pending,,,,,,
307,"Huntington University, Peoria",,Arizona,OTD,pending,,,,,,
310,"Midwestern University, Glendale",,Arizona,MOT,pending,,,,,,
308,Northern Arizona University,,Arizona,OTD,pending,,,,,,
311,"Arkansas State University, Jonesboro",,Arkansas,OTD,pending,,,,,,
312,University of Arkansas - Fayetteville / University of Arkansas for Medical Sciences,,Arkansas,OTD,pending,,,,,,
313,University of Central Arkansas,,Arkansas,OTD,pending,,,,,,
318,"California State University, Dominguez Hills",,California,MOT,pending,,,,,,
319,Dominican University of California,,California,MOT,pending,,,,,,
320,Loma Linda University Health,,California,MOT,pending,,,,,,
321,Samuel Merritt University,,California,MOT,pending,,,,,,
314,Samuel Merritt University,,California,OTD,pending,,,,,,
322,San Jose State University,,California,MOT,pending,,,,,,
323,Stanbridge University,,California,MOT,pending,,,,,,
324,University of Southern California,,California,MOT,pending,,,,,,
325,"University of St. Augustine for Health Sciences, California Campus",,California,MOT,pending,,,,,,
315,"University of St. Augustine for Health Sciences, California Campus",,California,OTD,pending,,,,,,
316,"University of the Pacific, Sacramento",,California,OTD,pending,,,,,,
326,"West Coast University, Los Angeles",,California,MOT,pending,,,,,,
317,"West Coast University, Los Angeles",,California,OTD,pending,,,,,,
327,Colorado Mesa University,,Colorado,MOT,pending,,,,,,
328,Colorado State University,,Colorado,MOT,pending,,,,,,
330,Quinnipiac University,,Connecticut,MOT,pending,,,,,,
329,Quinnipiac University,,Connecticut,OTD,pending,,,,,,
331,Sacred Heart University,,Connecticut,MOT,pending,,,,,,
332,University of Hartford,,Connecticut,MOT,pending,,,,,,
333,Delaware State University,,Delaware,MOT,pending,,,,,,
334,Howard University,,District of Columbia,OTD,pending,,,,,,
335,Trinity Washington University,,District of Columbia,MOT,pending,,,,,,
342,AdventHealth University,,Florida,MOT,pending,,,,,,
343,Barry University,,Florida,MOT,pending,,,,,,
344,Florida Agricultural and Mechanical University,,Florida,MOT,pending,,,,,,
345,Florida Gulf Coast University,,Florida,MOT,pending,,,,,,
346,Florida International University,,Florida,MOT,pending,,,,,,
336,Gannon University-Florida Campus,,Florida,OTD,pending,,,,,,
337,Jacksonville University,,Florida,OTD,pending,,,,,,
347,"Keiser University, Fort Myers",,Florida,MOT,pending,,,,,,
348,"Keiser University, Ft. Lauderdale Campus",,Florida,MOT,pending,,,,,,
349,"Nova Southeastern University, Ft. Lauderdale",,Florida,MOT,pending,,,,,,
338,"Nova Southeastern University, Tampa Bay Regional Campus",,Florida,OTD,pending,,,,,,
339,University of Florida,,Florida,OTD,pending,,,,,,
350,"University of St. Augustine for Health Sciences, Miami Campus",,Florida,MOT,pending,,,,,,
340,"University of St. Augustine for Health Sciences, Miami Campus",,Florida,OTD,pending,,,,,,
351,"University of St. Augustine for Health Sciences, St. Augustine Campus",,Florida,MOT,pending,,,,,,
341,"University of St. Augustine for Health Sciences, St. Augustine Campus",,Florida,OTD,pending,,,,,,
354,Augusta University,,Georgia,MOT,pending,,,,,,
355,Brenau University,,Georgia,MOT,pending,,,,,,
352,"Brenau University, North Atlanta, Norcross Campus",,Georgia,OTD,pending,,,,,,
353,Georgia State University,,Georgia,OTD,pending,,,,,,
356,Middle Georgia State University,,Georgia,MOT,pending,,,,,,
357,Idaho State University,,Idaho,MOT,pending,,,,,,
360,Chicago State University,,Illinois,MOT,pending,,,,,,
361,DePaul University,,Illinois,MOT,pending,,,,,,
362,Elmhurst University,,Illinois,MOT,pending,,,,,,
363,Governors State University,,Illinois,MOT,pending,,,,,,
364,Lewis University,,Illinois,MOT,pending,,,,,,
358,"Midwestern University, Downers Grove",,Illinois,OTD,pending,,,,,,
365,North Central College,,Illinois,MOT,pending,,,,,,
359,Rush University,,Illinois,OTD,pending,,,,,,
366,University of Illinois Chicago,,Illinois,MOT,pending,,,,,,
367,Huntington University,,Indiana,OTD,pending,,,,,,
371,Indiana State University,,Indiana,MOT,pending,,,,,,
368,Indiana University,,Indiana,OTD,pending,,,,,,
372,"Indiana University, South Bend",,Indiana,MOT,pending,,,,,,
369,Indiana Wesleyan University,,Indiana,OTD,pending,,,,,,
373,University of Indianapolis,,Indiana,MOT,pending,,,,,,
370,University of Indianapolis,,Indiana,OTD,pending,,,,,,
374,University of Southern Indiana,,Indiana,MOT,pending,,,,,,
377,Allen College,,Iowa,MOT,pending,,,,,,
375,Drake University,,Iowa,OTD,pending,,,,,,
376,St. Ambrose University,,Iowa,OTD,pending,,,,,,
378,University of Kansas Medical Center,,Kansas,OTD,pending,,,,,,
379,"University of Saint Mary, Leavenworth",,Kansas,OTD,pending,,,,,,
382,Eastern Kentucky University,,Kentucky,MOT,pending,,,,,,
380,Eastern Kentucky University,,Kentucky,OTD,pending,,,,,,
383,"Murray State University, Paducah Regional Campus",,Kentucky,MOT,pending,,,,,,
381,Spalding University,,Kentucky,OTD,pending,,,,,,
384,Louisiana State University Health New Orleans,,Louisiana,MOT,pending,,,,,,
385,University of Louisiana at Monroe,,Louisiana,MOT,pending,,,,,,
386,Husson University,,Maine,MOT,pending,,,,,,
387,University of New England,,Maine,MOT,pending,,,,,,
