program_id,school_name,city,state,degree_type,program_url,url_status,search_attempts,url_confidence,discovered_url,manual_url,discovered_url_2,search_query_used,scrape_notes,estimated_year,reviewer_notes
303,Tuskegee University,,Alabama,MOT,,url_found_low_confidence,3,low,https://www.tuskegee.edu/Content/Uploads/Tuskegee/files/Financials/Tuition-and-Fees-Sheet-2020-2021-Final.pdf,,https://www.tuskegee.edu/bursar/2025-2026_Tuition_and_-Fees_Sheet_updated20June-2025.pdf,Tuskegee University Master of Occupational Therapy tuition cost of attendance,,2020,
334,Howard University,,District of Columbia,OTD,,url_found_low_confidence,3,low,https://financialservices.howard.edu/tuition-fees/tuition-faqs/cost-attendance/2022-2023-estimated-cost-attendance,,https://cnahs.howard.edu/sites/cnahs.howard.edu/files/2023-09/OTD%202023-24%20Tuition%20%26%20Fees%5B53%5D_1.pdf,Howard University Doctor of Occupational Therapy program cost fees,,2022,
379,"University of Saint Mary, Leavenworth",,Kansas,OTD,,url_found_low_confidence,3,low,https://www.umary.edu/sites/default/files/2022-01/OT-Program-Tuition-and-Fees.pdf,,https://www.csm.edu/academics/occupational-therapy-doctorate-program-cost-0,"University of Saint Mary, Leavenworth Doctor of Occupational Therapy tuition cost of attendance",,2022,
381,Spalding University,,Kentucky,OTD,,url_found_low_confidence,3,low,https://spalding.edu/wp-content/uploads/2020/12/Tuition-and-Fees-Grad-Card-20-21_web.pdf,,https://spalding.edu/wp-content/uploads/2024/02/SU-24-25-Financial-Fact-Sheet.pdf,Spalding University Doctor of Occupational Therapy tuition cost of attendance,,2020,
392,MGH Institute of Health Professions,,Massachusetts,OTD,,url_found_low_confidence,3,low,https://www.mghihp.edu/sites/default/files/2022-12/fy23-tuition-and-fees.pdf,,https://www.mghihp.edu/admissions/tuition-fees,MGH Institute of Health Professions OTD tuition fees cost,,2022,
405,Eastern Michigan University,,Michigan,MOT,,url_found_low_confidence,3,low,https://www.masu.org/sites/default/files/documents/2021-10/tuition-and-fees-report-fy-2021-2022.pdf,,https://www.collegetuitioncompare.com/edu/169798/eastern-michigan-university/tuition/,Eastern Michigan University MOT tuition fees cost,,2021,
419,Cox College,,Missouri,MOT,,url_found_low_confidence,3,low,https://coxcollege.edu/wp-content/uploads/2022/08/Updated-Est.-Prog.-Cost-MSOT-2022-23-Tuition_Fees.pdf,,https://coxcollege.edu/wp-content/uploads/2025/02/Est.-Prog.-Cost-MSOT-2024-25-Tuition_Fees-MSOT-Cohort-10.pdf,Cox College Master of Occupational Therapy tuition cost of attendance,,2022,
420,Maryville University,,Missouri,MOT,,url_found_low_confidence,3,low,https://www.maryville.edu/admissions/2021-2022-graduate-tuition-and-fees/,,https://www.maryville.edu/admissions/cost-of-attendance-on-ground-graduate-students/,Maryville University Master of Occupational Therapy tuition cost of attendance,,2021,
438,Kean University,,New Jersey,MOT,,url_found_low_confidence,3,low,https://kean.smartcatalogiq.com/en/2019-2020/graduate-catalog/financial-information/student-accounting-information-tuition-and-fees/tuition-and-fees,,https://www.kean.edu/offices/student-accounting/tuition-and-fees-2025-2026,Kean University Master of Occupational Therapy tuition cost of attendance,,2019,
465,Stony Brook University,,New York,MOT,,url_found_low_confidence,3,low,"https://healthprofessions.stonybrookmedicine.edu/sites/default/files/MSOT%20Tuition%20and%20Fees,%207-31-2014.pdf",,https://www.stonybrook.edu/undergraduate-admissions/cost-and-aid/tuition-costs.php,Stony Brook University Master of Occupational Therapy tuition cost of attendance,,2014,
445,"Yeshiva University, Jack and Pearl Resnick Campus",,New York,OTD,,url_found_low_confidence,3,low,https://www.yu.edu/sites/default/files/inline-files/OT%20Tuition%20and%20fees%202024-2025%20Revised_0.pdf,,https://www.yu.edu/osf/tuition-fees/undergraduate,"Yeshiva University, Jack and Pearl Resnick Campus Doctor of Occupational Therapy tuition cost of attendance",,2020,
479,"University of Mary, Bismark",,North Dakota,OTD,,url_found_low_confidence,3,low,https://www.umary.edu/sites/default/files/2022-01/OT-Program-Tuition-and-Fees.pdf,,https://www.umary.edu/sites/default/files/2024-02/Cost-of-Attendance-Budgets-2023-24.pdf,"University of Mary, Bismark Doctor of Occupational Therapy tuition cost of attendance",,2022,
494,University of Oklahoma Health Sciences Center,,Oklahoma,MOT,,url_found_low_confidence,3,low,https://financialservices.ouhsc.edu/Departments/Bursars-Office/Tuition-Fees/Tuition-and-Fees-Archives/2022-2023-Tuition-and-Fees-by-Program,,https://ou.edu/content/dam/irr/docs/Fact%20Book/fact-book-2023/hsc-pages/23_3_45_hsc_tuition_and_fees.pdf,University of Oklahoma Health Sciences Center Master of Occupational Therapy tuition cost of attendance,,2022,
