program_id,school_name,city,state
185,Alabama State University,,Alabama
187,Faulkner University,,Alabama
186,Samford University,,Alabama
183,University of Alabama at Birmingham,,Alabama
184,University of South Alabama,,Alabama
45,A.T. Still University of Health Sciences,,Arizona
49,Creighton University-Arizona Health Education Alliance,,Arizona
46,Franklin Pierce University - AZ,,Arizona
48,Midwestern University - AZ,,Arizona
44,Northern Arizona University,,Arizona
47,Northern Arizona University - EXPANSION PROGRAM  in PHOENIX,,Arizona
51,Northern Arizona University - Hybrid Expansion Program,,Arizona
50,Tufts University - Phoenix,,Arizona
56,Arkansas Colleges of Health Education,,Arkansas
53,Arkansas State University,,Arkansas
54,Harding University,,Arkansas
55,University of Arkansas for Medical Sciences,,Arkansas
52,University of Central Arkansas,,Arkansas
70,Azusa Pacific University,,California
57,"California State University, Fresno",,California
58,"California State University, Long Beach",,California
59,"California State University, Northridge",,California
68,"California State University, Sacramento",,California
60,Chapman University,,California
61,Loma Linda University,,California
62,Mount Saint Mary's University,,California
66,Samuel Merritt University,,California
72,San Diego State University,,California
63,University of CA / San Francisco State University,,California
65,University of Southern California,,California
74,University of Southern California - Hybrid DPT  Program,,California
71,University of St Augustine for Health Sciences  ONLINE FLEX EXPANSION PROGRAM in San Diego,,California
69,University of St Augustine for Health Sciences -  California,,California
64,University of The Pacific,,California
73,West Coast University,,California
67,Western University of Health Sciences - California,,California
76,Regis University,,Colorado
75,University of Colorado,,Colorado
77,Quinnipiac University,,Connecticut
80,Sacred Heart University,,Connecticut
78,University of Connecticut,,Connecticut
79,University of Hartford,,Connecticut
81,University of Delaware,,Delaware
83,George Washington University,,District of Columbia
82,Howard University,,District of Columbia
98,AdventHealth University,,Florida
84,Florida Agricultural and Mechanical University,,Florida
92,Florida Gulf Coast University,,Florida
85,Florida International University,,Florida
99,Florida Southern College,,Florida
97,Gannon University - Florida,,Florida
90,Nova Southeastern University - Ft Lauderdale,,Florida
94,Nova Southeastern University - Tampa,,Florida
89,University of Central Florida,,Florida
86,University of Florida,,Florida
87,University of Miami,,Florida
88,University of North Florida,,Florida
93,University of South Florida,,Florida
96,University of St Augustine for Health Sciences -  EXPANSION PROGRAM in Miami,,Florida
95,University of St Augustine for Health Sciences -  ONLINE FLEX EXPANSION PROGRAM in Florida,,Florida
91,University of St Augustine for Health Sciences - Florida,,Florida
102,Augusta University,,Georgia
106,Brenau University,,Georgia
100,Emory University,,Georgia
104,Georgia Southern University,,Georgia
101,Georgia State University,,Georgia
105,Mercer University,,Georgia
107,Philadelphia College of Osteopathic Medicine,,Georgia
108,South College - Atlanta,,Georgia
103,University of North Georgia,,Georgia
109,Hawaii Pacific University,,Hawaii
110,Idaho State University,,Idaho
115,Bradley University,,Illinois
117,Governors State University,,Illinois
116,Midwestern University - IL,,Illinois
118,North Central College,,Illinois
111,Northern Illinois University,,Illinois
112,Northwestern University,,Illinois
