program_id,school_name,state,cost_source_url,old_total_cost,new_total_cost,cost_pct_change,old_tuition_per_year,new_tuition_per_year,tuition_pct_change,old_length_months,new_length_months,change_type,notes
185,Alabama State University,Alabama,https://www.alasu.edu/financial-aid/tuition-costs.php,93936.0,67548.0,28.1%,32960.0,22516.0,31.7%,36.0,36,cost_changed|tuition_changed,cost 93936→67548 (28.1%); tuition 32960→22516 (31.7%)
187,Faulkner University,Alabama,https://www.faulkner.edu/wp-content/uploads/2025-dpt-student-financial-fact-sheet.pdf,94100.0,94100.0,0.0%,38250.0,38250.0,0.0%,,32,newly_populated_length,
45,A.T. Still University of Health Sciences,Arizona,https://www.atsu.edu/pdf/2026-December_grads-dpt-student-financial-fact-sheet.pdf,166500.0,129940.0,22.0%,55500.0,44330.0,20.1%,36.0,30,cost_changed|tuition_changed|length_changed,cost 166500→129940 (22.0%); tuition 55500→44330 (20.1%); length 36→30
51,Northern Arizona University - Hybrid Expansion Program,Arizona,https://legacy.nau.edu/wp-content/uploads/sites/147/10.2023-Hybrid_dpt-student-financial-fact-sheet_Hybrid.pdf,70080.0,105066.0,49.9%,17540.0,35033.0,99.7%,32.0,32,cost_changed|tuition_changed,cost 70080→105066 (49.9%); tuition 17540→35033 (99.7%)
95,University of St Augustine for Health Sciences -  ONLINE FLEX EXPANSION PROGRAM in Florida,Florida,https://phhp.ufl.edu/wordpress/files/2025/11/2025-dpt-student-financial-fact-sheet-1-updated.docx,,180000.0,,,60000.0,,,36,newly_populated_cost|newly_populated_tuition|newly_populated_length,
106,Brenau University,Georgia,https://www.brenau.edu/admissions/tuition/,139054.0,180000.0,29.4%,40240.0,60000.0,49.1%,36.0,36,cost_changed|tuition_changed,cost 139054→180000 (29.4%); tuition 40240→60000 (49.1%)
113,Rosalind Franklin University of Medicine and Science,Illinois,https://www.rosalindfranklin.edu/admission-aid/financial-services/tuition-fees/physical-therapy/,133146.0,115753.0,13.1%,45606.0,47076.0,3.2%,29.0,29,cost_changed,cost 133146→115753 (13.1%)
135,University of Kentucky,Kentucky,https://chs.uky.edu/sites/default/files/2024-08/2023-2024-dpt-student-financial-fact-sheet.pdf,72897.0,72897.0,0.0%,22225.0,47595.0,114.2%,36.0,36,tuition_changed,tuition 22225→47595 (114.2%)
138,University of the Cumberlands,Kentucky,https://www.ucumberlands.edu/academics/graduate/doctor-physical-therapy-dpt,80500.0,80500.0,0.0%,,40250.0,,24.0,24,newly_populated_tuition,
42,MCPHS University,Massachusetts,https://www.mcphs.edu/admission-and-aid/cost-and-aid/tuition-and-fees,151500.0,151500.0,0.0%,60600.0,60600.0,0.0%,30.0,32,length_changed,length 30→32
148,Oakland University,Michigan,https://www.capteonline.org/globalassets/capte-docs/faculty-and-program-resources/2025-dpt-student-financial-fact-sheet.docx,,180000.0,,,60000.0,,,36,newly_populated_cost|newly_populated_tuition|newly_populated_length,
181,Kean University,New Jersey,https://www.kean.edu/offices/student-accounting/tuition-and-fees-2025-2026,108131.0,198552.0,83.6%,38565.0,49138.0,27.4%,36.0,36,cost_changed|tuition_changed,cost 108131→198552 (83.6%); tuition 38565→49138 (27.4%)
180,Seton Hall University,New Jersey,http://www.shu.edu/bursar/tuition-and-fees.html,,,,,,,35.0,34,length_changed,length 35→34
25,Mercy University,New York,https://www.mercy.edu/media/2025-dpt-student-financial-fact-sheet-mercy-university,,198000.0,,,60000.0,,,40,newly_populated_cost|newly_populated_tuition|newly_populated_length,
192,Western Carolina University,North Carolina,https://www.wcu.edu/learn/departments-schools-colleges/HHS/pt/resources/2025-2026_Expenses-2.pdf,90431.0,87439.0,3.3%,26239.0,27877.0,6.2%,36.0,36,tuition_changed,tuition 26239→27877 (6.2%)
195,Wingate University,North Carolina,https://www.wingate.edu/academics/graduate/physical-therapy,118694.0,408000.0,243.7%,38850.0,40800.0,5.0%,36.0,36,cost_changed|tuition_changed,cost 118694→408000 (243.7%); tuition 38850→40800 (5.0%)
