program_id,school_name,city,state,program_url,url_status,search_attempts,url_confidence,fact_sheet_url,search_query_used,scrape_notes,estimated_year,validation_status,rejection_reason,total_program_cost,data_year,tuition_per_year,fees_per_year,rediscovery_status,apta_program_url,outcomes_url,extracted_from_url,graduation_rate_pct,board_pass_rate_pct,employment_rate_pct,apta_landing_confirmed,program_length_months,extraction_notes,cost_basis,cost_components,tuition_instate,tuition_is_oos
185,Alabama State University,,Alabama,https://www.alasu.edu/websites/DPT-PhysicalTherapy.php,url_found,3,high,https://www.jeffersonstate.edu/wp-content/uploads/2022/12/CAPTE_Debt21-22_PTA_Stu_-fin_fact-sheet-revised.pdf,Alabama State University DPT financial fact sheet,,2022,confirmed_landing,"Correct school and DPT program page, but financial data (tuition, fees, total cost) and outcome data (board pass rate, employment rate) are not present on this page. The page mentions a 95.8% graduation rate but lacks tuition/fees information and board pass rate. Financial details are referenced as a link ('Tuition & Costs↗') but not displayed on the current page.",189144,2024-2025,22516,,not_found,https://www.alasu.edu/websites/DPT-PhysicalTherapy.php,https://www.alasu.edu/_qa/asu-department-physical-therapy.php,,,,,,36,len+cost:/websites/DPT-PhysicalTherapy.php+cost:sub/financial-aid/tuition-costs.php|len:sub/financia,,,,
187,Faulkner University,,Alabama,https://www.faulkner.edu/graduate/graduate-degrees/physical-therapy-dpt/,url_found,3,high,https://www.faulkner.edu/wp-content/uploads/2025-dpt-student-financial-fact-sheet.pdf,Faulkner University DPT financial fact sheet,,2025,valid,,94100,2024-2025,38250,,,https://www.faulkner.edu/graduate/graduate-degrees/physical-therapy-dpt/,https://www.faulkner.edu/graduate/graduate-degrees/physical-therapy-dpt/,,,,,,28,len+cost:025-dpt-student-financial-fact-sheet.pdf,total,"Year 1: 42,350 + Year 2: 36,000 + Year 3: 15,750",,
186,Samford University,,Alabama,https://www.samford.edu/healthprofessions/doctor-of-physical-therapy,url_found,3,high,https://cascp-web1.samford.edu/healthprofessions/files/2025-dpt-student-financial-fact-sheet.pdf,Samford University DPT financial fact sheet,,2025,valid,,118741,2023-2024,41462,1800,,https://www.samford.edu/healthprofessions/doctor-of-physical-therapy,https://www.samford.edu/healthprofessions/doctor-of-physical-therapy,,,,,True,27,cost+len:fact_sheet_stale,total,"Year 1: $43,692 + Year 2: $44,514 + Year 3: $30,535",,
183,University of Alabama at Birmingham,,Alabama,https://www.uab.edu/shp/pt/programs/dpt,url_found,3,high,https://www.uab.edu/shp/pt/images/documents/dpt/dpt-student-financial-fact-sheet.pdf,University of Alabama at Birmingham DPT financial fact sheet,,,valid,,196428,2025,68400,5422,,https://www.uab.edu/shp/pt/programs/dpt,https://www.uab.edu/shp/pt/programs/dpt,,,,,,32,len:dpt/dpt-student-financial-fact-sheet.pdf,total,OOS: $68.4k + $66.65k + $48.05k yr1-3,27720,yes
184,University of South Alabama,,Alabama,http://www.southalabama.edu/colleges/alliedhealth/pt/,url_found,3,high,https://www.southalabama.edu/colleges/alliedhealth/pt/resources/dptstudentfinancialfactsheet.pdf,University of South Alabama DPT financial fact sheet,,,valid,,142296,2025,55272,4938,not_found,http://www.southalabama.edu/colleges/alliedhealth/pt/,http://www.southalabama.edu/colleges/alliedhealth/pt/studentoutcome.html,https://www.southalabama.edu/colleges/alliedhealth/pt/resources/dptstudentfinancialfactsheet.pdf,,,,,36,len:sources/dptstudentfinancialfactsheet.pdf,per_year,OOS: $55272+$52920+$34104; IS: $23735+$22725+$14645,23735,yes
45,A.T. Still University of Health Sciences,,Arizona,https://www.atsu.edu/arizona-school-of-health-sciences/academics/doctor-of-physical-therapy,url_found,3,high,https://health.utah.edu/documents/dpt-financial-fact-sheet,A.T. Still University of Health Sciences DPT financial fact sheet,,,confirmed_landing,"Correct school and DPT program page, but financial and outcome data are not present on this page. The page contains program overview, curriculum details, and credit hours, but links to tuition and other data (mentioned in 'QUICK LINKS: Tuition' and 'Careers & outcomes') are not included in the page content provided.",166500,2025-26,55500,,not_found,https://www.atsu.edu/arizona-school-of-health-sciences/academics/doctor-of-physical-therapy,https://tinyurl.com/797zsbvb,,,,,,36,len+cost:/documents/dpt-financial-fact-sheet,per_year,55500/yr x 3yr,,
49,Creighton University-Arizona Health Education Alliance,,Arizona,https://www.creighton.edu/pharmacy-ot-pt/physical-therapy,url_found,3,high,https://www.creighton.edu/sites/default/files/PHX-2025-dpt-student-financial-fact-sheet.pdf,Creighton University-Arizona Health Education Alliance DPT financial fact sheet,,2025,valid,,184066,2025,37934,6026,,https://www.creighton.edu/pharmacy-ot-pt/physical-therapy,https://www.creighton.edu/academics/programs/physical-therapy-phoenix,,,,,,33,len+cost:025-dpt-student-financial-fact-sheet.pdf,total,"Yr1: $37,934 tuition + $6,026 fees + $4,680 other; Yr2-3 at 2.5% increase",,
46,Franklin Pierce University - AZ,,Arizona,https://franklinpierce.edu/academics/programs/physical-therapy/index.html,url_found,3,high,https://franklinpierce.edu/academics/programs/physical-therapy/2024-2025-dpt-FPU-AZ-student-financial-fact-sheet.pdf,Franklin Pierce University - AZ DPT financial fact sheet,,2024,valid,,112952,2024-2025,54156,1520,,https://franklinpierce.edu/academics/programs/physical-therapy/index.html,https://www.franklinpierce.edu/about/heoa/DPT-Outcome-Data-AZ.pdf,,,,,,36,len+cost:-FPU-AZ-student-financial-fact-sheet.pdf,total,"$54,156/yr tuition + $1,520/yr fees + $1,600 total other costs",,
48,Midwestern University - AZ,,Arizona,https://www.midwestern.edu/academics/degrees-programs/college-health-sciences/doctor-physical-therapy-program/physical-therapy-residential-glendale,url_found,3,high,https://www.midwestern.edu/documents/dpt-az-student-financial-fact-sheet,Midwestern University - AZ DPT financial fact sheet,,,valid,,128048,2025,48490,1065,,https://www.midwestern.edu/academics/degrees-programs/college-health-sciences/doctor-physical-therapy-program/physical-therapy-residential-glendale,https://www.midwestern.edu/academics/degrees-programs/college-health-sciences/doctor-physical-therapy-program/physical-therapy-residential-glendale,,,,,,30,len+cost:ents/dpt-az-student-financial-fact-sheet,total,"Y1: $51,887 + Y2: $51,123 + Y3: $25,038",,
44,Northern Arizona University,,Arizona,http://nau.edu/chhs/physical-therapy/,url_found,3,high,https://legacy.nau.edu/wp-content/uploads/sites/147/1219_1590265_2024-DPT-Student-Financial-Fact-Sheet-Revised-9-3-2024_ADA-Final.pdf,Northern Arizona University DPT financial fact sheet,,2024,valid,,65950,2024,20495,1835,,http://nau.edu/chhs/physical-therapy/,https://nau.edu/physical-therapy/program-data/,,,,,True,25,len:sub/admissions/request-information,per_year,18035+22926 yr1-2; +1791+1878 fees; +10400+10920 expenses,,
47,Northern Arizona University - EXPANSION PROGRAM  in PHOENIX,,Arizona,,url_found,3,high,https://healthprofessions.publichealth.arizona.edu/academics/physical-therapy-program/admissions/financial-fact-sheet,Northern Arizona University - EXPANSION PROGRAM  in PHOENIX DPT financial fact sheet,,,fetch_failed,no_url,100559,2025-2026,21696,,not_found,,,,,,,,33,cost+len:fact_sheet_stale,per_year,21696/yr x 2.67yr + 15180 + 2948 + 2948 + 2887 + 12219 + 12000 + 8985,,
51,Northern Arizona University - Hybrid Expansion Program,,Arizona,,url_found,3,high,https://legacy.nau.edu/wp-content/uploads/sites/147/10.2023-Hybrid_dpt-student-financial-fact-sheet_Hybrid.pdf,Northern Arizona University - Hybrid Expansion Program DPT financial fact sheet,,,valid,,70080,2023-2024,17540,13000,found,,,https://legacy.nau.edu/wp-content/uploads/sites/147/10.2023-Hybrid_dpt-student-financial-fact-sheet_Hybrid.pdf,,,,,32,cost+len:fact_sheet_stale,per_year,$17540/yr + $13000/yr + $4500/yr = $35040/yr x 2yr,,
50,Tufts University - Phoenix,,Arizona,https://medicine.tufts.edu/admissions-financial-aid/admission-program/doctor-physical-therapy/dpt-phoenix,url_found,3,high,https://acapt.org/docs/default-source/default-document-library/doctor-of-physical-therapy-program-financial-fact-sheet-2020-2021.pdf?sfvrsn=46538fd8_2,Tufts University - Phoenix DPT financial fact sheet,,2020,confirmed_landing,"This page contains DPT program requirements and admission information for Tufts University - Phoenix, but does not include financial data (tuition, fees, total program cost) or outcome metrics (graduation rate, board pass rate, employment rate). Financial information would be found on the Tuition & Fees section referenced in the navigation menu.",,2020-2021,,,not_found,https://medicine.tufts.edu/admissions-financial-aid/admission-program/doctor-physical-therapy/dpt-phoenix,https://medicine.tufts.edu/academics/physical-therapy/dpt-career-pathways-outcomes,,,,,,,cost+len:fact_sheet_stale,,,,
56,Arkansas Colleges of Health Education,,Arkansas,https://physical-therapy.achehealth.edu/,url_found,3,high,https://physicaltherapy.achehealth.edu/wp-content/uploads/sites/5/2025/03/2025-2026-dpt-student-financial-fact-sheet.pdf,Arkansas Colleges of Health Education DPT financial fact sheet,,2025,valid,,109959,2025-2026,33000,2550,,https://physical-therapy.achehealth.edu/,https://physicaltherapy.achehealth.edu/student-achievement/,,,,,,36,len+cost:026-dpt-student-financial-fact-sheet.pdf,total,"$33,000/yr tuition + $2,550/yr fees + program expenses",,
53,Arkansas State University,,Arkansas,https://www.astate.edu/programs/dpt-in-physical-therapy.html,url_found,3,high,https://kb.astate.edu/books/department-of-physical-therapy/page/dpt-financial-fact-sheet-2025,Arkansas State University DPT financial fact sheet,,2025,valid,,40068,2023-2025,13356,,,https://www.astate.edu/programs/dpt-in-physical-therapy.html,http://www.astate.edu/college/conhp/degrees/degree-details.dot?mid=e3ca7087-e029-48ec-8e76-bf031e71f16b,https://www.astate.edu/programs/dpt-in-physical-therapy.html,88.0,94.3,100.0,,36,len:/programs/dpt-in-physical-therapy.html,per_credit,378/cr x 106cr,,no
54,Harding University,,Arkansas,https://www.harding.edu/allied-health/physical-therapy/,url_found,3,high,https://www.harding.edu/allied-health/physical-therapy/assets/docs/2023-2024-dpt-student-financial-fact-sheet.pdf,Harding University DPT financial fact sheet,,2023,valid,,143844,2023-2024,46590,324,,https://www.harding.edu/allied-health/physical-therapy/,https://www.harding.edu/allied-health/physical-therapy/outcomes/,,,,,True,32,cost+len:fact_sheet_stale,per_year,46590/yr x 3yr + 324/yr x 3yr + 1461 + 1341 + 300,,
55,University of Arkansas for Medical Sciences,,Arkansas,https://healthprofessions.uams.edu/programs/physical-therapy,url_found,3,high,https://healthprofessions.uams.edu/physical-therapy/wp-content/uploads/sites/14/2025/02/2024-dpt-student-financial-fact-sheet-revised.-UAMS-DPT.pdf,University of Arkansas for Medical Sciences DPT financial fact sheet,,2025,valid,,79364,2024,20000,4298,,https://healthprofessions.uams.edu/programs/physical-therapy,http://healthprofessions.uams.edu/programs/physical-therapy/fast-facts/,,,,,True,34,len:subpy/doctor-of-physical-therapy/about/cost,,,,
52,University of Central Arkansas,,Arkansas,http://uca.edu/pt/,url_found,3,high,https://acapt.org/docs/default-source/default-document-library/doctor-of-physical-therapy-program-financial-fact-sheet-2020-2021.pdf?sfvrsn=46538fd8_2,University of Central Arkansas DPT financial fact sheet,,2020,confirmed_landing,"Page is a general overview/landing page for UCA's Physical Therapy programs. It contains no financial data (tuition, fees, total cost) or outcome metrics (graduation rate, board pass rate, employment rate). These details would be found on linked sub-pages such as admissions or program details.",62205,2025,26939,,not_found,http://uca.edu/pt/,https://uca.edu/pt/programs/dpt/,,,,,,36,len+cost:/pt+cost:subpt-student-financial-fact-sheet-v2-1.pdf|len:subpt-student-financial-fact-sheet,,,,
70,Azusa Pacific University,,California,https://www.apu.edu/programs/dpt/,url_found,3,high,https://www.pacific.edu/sites/default/files/users/user815/2024-dpt-student-financial-fact-sheet-revised-9.3.2024%202024.10.14%20v2.pdf,Azusa Pacific University DPT financial fact sheet,,2024,valid,,119925,2025,39975,,not_found,https://www.apu.edu/programs/dpt/,https://www.apu.edu/programs/dpt/,https://www.apu.edu/programs/dpt/,,,100.0,,36,len+cost:/programs/dpt,total,123 units x $975/unit,,
57,"California State University, Fresno",,California,http://fresnostate.edu/chhs/physical-therapy/index.html,url_found,3,high,https://chhs.fresnostate.edu/physical-therapy/documents/dptstudentfinancialfactsheet.pdf,"California State University, Fresno DPT financial fact sheet",,,valid,,79868,2025-2026,25835,1950,,http://fresnostate.edu/chhs/physical-therapy/index.html,http://www.fresnostate.edu/chhs/physical-therapy/index.html,http://fresnostate.edu/chhs/physical-therapy/index.html,97.0,98.5,100.0,True,,len+cost:/chhs/physical-therapy/index.html,,,,
58,"California State University, Long Beach",,California,https://www.csulb.edu/college-of-health-human-services/physical-therapy,url_found,3,high,https://www.westernu.edu/media/health-sciences/pdfs/financial-fact-sheet-2024-2025-westernu-dpt-ca.pdf,"California State University, Long Beach DPT financial fact sheet",,2024,confirmed_landing,"This is a landing/overview page for the CSULB DPT program with no financial data (tuition, fees, total cost) or outcome metrics (graduation rate, board pass rate, employment rate) present. The page mentions 'graduate outcomes here' as a link but does not display the actual data on this page.",127272,2025-2026 and 2026-2027,21212,,found,https://www.csulb.edu/college-of-health-human-services/physical-therapy,https://www.csulb.edu/college-of-health-human-services/physical-therapy/graduate-outcomes,,,,,,36,len:f-health-human-services/physical-therapy+cost:sub/student-records/tuition-and-fees|len:sub/stude,total,$49703/yr tuition + $4617/yr avg fees + $7223/yr avg other,,
