program_id,school_name,city,state,program_url,url_status,search_attempts,url_confidence,fact_sheet_url,search_query_used,scrape_notes,estimated_year,validation_status,rejection_reason,total_program_cost,data_year,tuition_per_year,fees_per_year,rediscovery_status,apta_program_url,outcomes_url,extracted_from_url,graduation_rate_pct,board_pass_rate_pct,employment_rate_pct,apta_landing_confirmed,program_length_months,extraction_notes,cost_basis,cost_components,tuition_instate,tuition_is_oos,cost_source_url
185,Alabama State University,,Alabama,https://www.alasu.edu/websites/DPT-PhysicalTherapy.php,url_found,3,high,https://www.jeffersonstate.edu/wp-content/uploads/2022/12/CAPTE_Debt21-22_PTA_Stu_-fin_fact-sheet-revised.pdf,Alabama State University DPT financial fact sheet,,2022,confirmed_landing,"Correct school and DPT program page, but financial data (tuition, fees, total cost) and outcome data (board pass rate, employment rate) are not present on this page. The page mentions a 95.8% graduation rate but lacks tuition/fees information and board pass rate. Financial details are referenced as a link ('Tuition & Costs↗') but not displayed on the current page.",67548,2024-2025,22516,,not_found,https://www.alasu.edu/websites/DPT-PhysicalTherapy.php,https://www.alasu.edu/_qa/asu-department-physical-therapy.php,,,,,,36,len+cost:/websites/DPT-PhysicalTherapy.php+cost:sub/financial-aid/tuition-costs.php|len:sub/financial-aid/tuition-costs.,,,,,https://www.alasu.edu/financial-aid/tuition-costs.php
187,Faulkner University,,Alabama,https://www.faulkner.edu/graduate/graduate-degrees/physical-therapy-dpt/,url_found,3,high,https://www.faulkner.edu/wp-content/uploads/2025-dpt-student-financial-fact-sheet.pdf,Faulkner University DPT financial fact sheet,,2025,valid,,94100,2024-2025,38250,,,https://www.faulkner.edu/graduate/graduate-degrees/physical-therapy-dpt/,https://www.faulkner.edu/graduate/graduate-degrees/physical-therapy-dpt/,,,,,,32,len:025-dpt-student-financial-fact-sheet.pdf,total,"Y1:38250+2600+1500, Y2:32250+2250+1500, Y3:12750+1500+1500",,,https://www.faulkner.edu/wp-content/uploads/2025-dpt-student-financial-fact-sheet.pdf
186,Samford University,,Alabama,https://www.samford.edu/healthprofessions/doctor-of-physical-therapy,url_found,3,high,https://cascp-web1.samford.edu/healthprofessions/files/2025-dpt-student-financial-fact-sheet.pdf,Samford University DPT financial fact sheet,,2025,valid,,123042,2025,41462,1800,,https://www.samford.edu/healthprofessions/doctor-of-physical-therapy,https://www.samford.edu/healthprofessions/doctor-of-physical-therapy,,,,,True,27,len:025-dpt-student-financial-fact-sheet.pdf,total,Year 1-3 tuition+fees+expenses,,,https://cascp-web1.samford.edu/healthprofessions/files/2025-dpt-student-financial-fact-sheet.pdf
183,University of Alabama at Birmingham,,Alabama,https://www.uab.edu/shp/pt/programs/dpt,url_found,3,high,https://www.uab.edu/shp/pt/images/documents/dpt/dpt-student-financial-fact-sheet.pdf,University of Alabama at Birmingham DPT financial fact sheet,,,valid,,196428,2025,68400,5422,,https://www.uab.edu/shp/pt/programs/dpt,https://www.uab.edu/shp/pt/programs/dpt,,,,,,32,len:dpt/dpt-student-financial-fact-sheet.pdf|RANGE_WARN: 196428 total (OOS); explicit totals provided,total,OOS: 68400+66650+48050; IS: 27720+27004+19468,27720,yes,https://www.uab.edu/shp/pt/images/documents/dpt/dpt-student-financial-fact-sheet.pdf
184,University of South Alabama,,Alabama,http://www.southalabama.edu/colleges/alliedhealth/pt/,url_found,3,high,https://www.southalabama.edu/colleges/alliedhealth/pt/resources/dptstudentfinancialfactsheet.pdf,University of South Alabama DPT financial fact sheet,,,valid,,142296,2025,55272,4938,not_found,http://www.southalabama.edu/colleges/alliedhealth/pt/,http://www.southalabama.edu/colleges/alliedhealth/pt/studentoutcome.html,https://www.southalabama.edu/colleges/alliedhealth/pt/resources/dptstudentfinancialfactsheet.pdf,,,,,36,len:sources/dptstudentfinancialfactsheet.pdf,total,"In-state: $23,735+$22,725+$14,645; OOS: $55,272+$52,920+$34,104",23735,yes,https://www.southalabama.edu/colleges/alliedhealth/pt/resources/dptstudentfinancialfactsheet.pdf
45,A.T. Still University of Health Sciences,,Arizona,https://www.atsu.edu/arizona-school-of-health-sciences/academics/doctor-of-physical-therapy,url_found,3,high,https://health.utah.edu/documents/dpt-financial-fact-sheet,A.T. Still University of Health Sciences DPT financial fact sheet,,,confirmed_landing,"Correct school and DPT program page, but financial and outcome data are not present on this page. The page contains program overview, curriculum details, and credit hours, but links to tuition and other data (mentioned in 'QUICK LINKS: Tuition' and 'Careers & outcomes') are not included in the page content provided.",129940,2026,44330,,not_found,https://www.atsu.edu/arizona-school-of-health-sciences/academics/doctor-of-physical-therapy,https://tinyurl.com/797zsbvb,,,,,,30,len:ces/academics/doctor-of-physical-therapy+cost:subads-dpt-student-financial-fact-sheet.pdf|len:subads-dpt-student-fin,per_year,55500/yr x 3yr,,,https://www.atsu.edu/pdf/2026-December_grads-dpt-student-financial-fact-sheet.pdf
49,Creighton University-Arizona Health Education Alliance,,Arizona,https://www.creighton.edu/pharmacy-ot-pt/physical-therapy,url_found,3,high,https://www.creighton.edu/sites/default/files/PHX-2025-dpt-student-financial-fact-sheet.pdf,Creighton University-Arizona Health Education Alliance DPT financial fact sheet,,2025,valid,,184066,2025,37934,6026,,https://www.creighton.edu/pharmacy-ot-pt/physical-therapy,https://www.creighton.edu/academics/programs/physical-therapy-phoenix,,,,,,33,len:025-dpt-student-financial-fact-sheet.pdf,total,37934+58324+59782 tuition + fees + other,,,https://www.creighton.edu/sites/default/files/PHX-2025-dpt-student-financial-fact-sheet.pdf
46,Franklin Pierce University - AZ,,Arizona,https://franklinpierce.edu/academics/programs/physical-therapy/index.html,url_found,3,high,https://franklinpierce.edu/academics/programs/physical-therapy/2024-2025-dpt-FPU-AZ-student-financial-fact-sheet.pdf,Franklin Pierce University - AZ DPT financial fact sheet,,2024,valid,,112952,2024-2025,54156,1520,,https://franklinpierce.edu/academics/programs/physical-therapy/index.html,https://www.franklinpierce.edu/about/heoa/DPT-Outcome-Data-AZ.pdf,,,,,,36,len:-FPU-AZ-student-financial-fact-sheet.pdf,total,tuition+fees+other: $54156+$1520+$800/yr x 3yr,,,https://franklinpierce.edu/academics/programs/physical-therapy/2024-2025-dpt-FPU-AZ-student-financial-fact-sheet.pdf
48,Midwestern University - AZ,,Arizona,https://www.midwestern.edu/academics/degrees-programs/college-health-sciences/doctor-physical-therapy-program/physical-therapy-residential-glendale,url_found,3,high,https://www.midwestern.edu/documents/dpt-az-student-financial-fact-sheet,Midwestern University - AZ DPT financial fact sheet,,,valid,,128048,2025,48490,1065,,https://www.midwestern.edu/academics/degrees-programs/college-health-sciences/doctor-physical-therapy-program/physical-therapy-residential-glendale,https://www.midwestern.edu/academics/degrees-programs/college-health-sciences/doctor-physical-therapy-program/physical-therapy-residential-glendale,,,,,,30,len:ents/dpt-az-student-financial-fact-sheet,total,Year1: $48490 tuition + $1065 fees + $2332 other; Year2: $48490 + $1065 + $1568; Year3: $24245 + $533 + $260,,,https://www.midwestern.edu/documents/dpt-az-student-financial-fact-sheet
44,Northern Arizona University,,Arizona,http://nau.edu/chhs/physical-therapy/,url_found,3,high,https://legacy.nau.edu/wp-content/uploads/sites/147/1219_1590265_2024-DPT-Student-Financial-Fact-Sheet-Revised-9-3-2024_ADA-Final.pdf,Northern Arizona University DPT financial fact sheet,,2024,valid,,65950,2024,20495,1835,,http://nau.edu/chhs/physical-therapy/,https://nau.edu/physical-therapy/program-data/,,,,,True,25,len:sub/admissions/request-information,per_year,18035+22926 yr1-2; +1791+1878 fees; +10400+10920 expenses,,,http://nau.edu/chhs/physical-therapy/
