school_name,city,state,degree_type,program_url,outcomes_url,matched_program_id,match_score,match_action
Northern Arizona University - (Expansion 2),Phoenix,AZ,Doctor of Physical Therapy,http://nau.edu/chhs/physical-therapy/,https://nau.edu/physical-therapy/program-data/,44,1.000,url_added
Alabama State University,Montgomery,AL,Doctor of Physical Therapy,https://www.alasu.edu/websites/DPT-PhysicalTherapy.php,https://www.alasu.edu/_qa/asu-department-physical-therapy.php,185,1.000,url_added
Faulkner University,Montgomery,AL,Doctor in Physical Therapy,https://www.faulkner.edu/graduate/graduate-degrees/physical-therapy-dpt/,https://www.faulkner.edu/graduate/graduate-degrees/physical-therapy-dpt/,187,1.000,url_added
Samford University,Birmingham,AL,Doctor of Physical Therapy,https://www.samford.edu/healthprofessions/doctor-of-physical-therapy,https://www.samford.edu/healthprofessions/doctor-of-physical-therapy,186,1.000,url_added
The University of Alabama at Birmingham,Birmingham,AL,Doctor of Physical Therapy,https://www.uab.edu/shp/pt/programs/dpt,https://www.uab.edu/shp/pt/programs/dpt,183,0.946,url_added
University of South Alabama,Mobile,AL,Doctor of Physical Therapy,http://www.southalabama.edu/colleges/alliedhealth/pt/,http://www.southalabama.edu/colleges/alliedhealth/pt/studentoutcome.html,184,1.000,url_added
AT Still University of Health Sciences,Mesa,AZ,Doctor of Physical Therapy,https://www.atsu.edu/arizona-school-of-health-sciences/academics/doctor-of-physical-therapy,https://tinyurl.com/797zsbvb,45,0.987,url_added
Creighton University-Arizona Health Education Alliance,Phoenix,AZ,Doctor of Physical Therapy,https://www.creighton.edu/pharmacy-ot-pt/physical-therapy,https://www.creighton.edu/academics/programs/physical-therapy-phoenix,49,1.000,url_added
Franklin Pierce University-AZ,Goodyear,AZ,Doctor of Physical Therapy,https://franklinpierce.edu/academics/programs/physical-therapy/index.html,https://www.franklinpierce.edu/about/heoa/DPT-Outcome-Data-AZ.pdf,46,1.000,url_added
Midwestern University - AZ,Glendale,AZ,Doctor of Physical Therapy,https://www.midwestern.edu/academics/degrees-programs/college-health-sciences/doctor-physical-therapy-program/physical-therapy-residential-glendale,https://www.midwestern.edu/academics/degrees-programs/college-health-sciences/doctor-physical-therapy-program/physical-therapy-residential-glendale,48,1.000,url_added
Northern Arizona University,Flagstaff,AZ,Doctor of Physical Therapy,http://nau.edu/chhs/physical-therapy/,https://nau.edu/physical-therapy/program-data/,44,1.000,url_added
Northern Arizona University - (Expansion),Phoenix,AZ,Doctor of Physical Therapy,http://nau.edu/chhs/physical-therapy/,https://nau.edu/physical-therapy/program-data/,44,1.000,url_added
"Tufts University - Phoenix, AZ",Phoenix,AZ,DPT,https://medicine.tufts.edu/admissions-financial-aid/admission-program/doctor-physical-therapy/dpt-phoenix,https://medicine.tufts.edu/academics/physical-therapy/dpt-career-pathways-outcomes,50,0.941,url_added
Arkansas Colleges of Health Education,Fort Smith,AR,Doctor of Physical Therapy,https://physical-therapy.achehealth.edu/,https://physicaltherapy.achehealth.edu/student-achievement/,56,1.000,url_added
Arkansas State University,State University,AR,Doctor of Physical Therapy,https://www.astate.edu/programs/dpt-in-physical-therapy.html,http://www.astate.edu/college/conhp/degrees/degree-details.dot?mid=e3ca7087-e029-48ec-8e76-bf031e71f16b,53,1.000,url_added
Harding University,Searcy,AR,Doctor of Physical Therapy,https://www.harding.edu/allied-health/physical-therapy/,https://www.harding.edu/allied-health/physical-therapy/outcomes/,54,1.000,url_added
University of Arkansas for Medical Sciences,Fayetteville,AR,Doctor of Physical Therapy,https://healthprofessions.uams.edu/programs/physical-therapy,http://healthprofessions.uams.edu/programs/physical-therapy/fast-facts/,55,1.000,url_added
University of Central Arkansas,Conway,AR,Doctor of Physical Therapy,http://uca.edu/pt/,https://uca.edu/pt/programs/dpt/,52,1.000,url_added
Azusa Pacific University,Azusa,CA,Doctor of Physical Therapy,https://www.apu.edu/programs/dpt/,https://www.apu.edu/programs/dpt/,70,1.000,url_added
"California State University, Fresno",Fresno,CA,Doctor of Physical Therapy,http://fresnostate.edu/chhs/physical-therapy/index.html,http://www.fresnostate.edu/chhs/physical-therapy/index.html,57,1.000,url_added
"California State University, Long Beach",Long Beach,CA,Doctor of Physical Therapy,https://www.csulb.edu/college-of-health-human-services/physical-therapy,https://www.csulb.edu/college-of-health-human-services/physical-therapy/graduate-outcomes,58,1.000,url_added
"California State University, Northridge",Northridge,CA,Doctor of Physical Therapy,https://www.csun.edu/health-human-development/physical-therapy,http://www.csun.edu/health-human-development/physical-therapy/,59,1.000,url_added
