school_name,city,state,degree_type,program_url,outcomes_url
"University of California, San Francisco - San Francisco State University",San Francisco,CA,Doctor of Physical Therapy,https://ptrehab.ucsf.edu/dpt-program,https://ptrehab.ucsf.edu/dpt-program
University of Colorado - Expansion,Colorado,CO,Doctor of Physical Therapy,https://medschool.cuanschutz.edu/physical-therapy-program,https://medschool.cuanschutz.edu/physical-therapy-program/education-programs/doctor-of-physical-therapy/about-our-program/dpt-statistics-demographics
Trine University - Angola,Fort Wayne,IN,Doctor of Physical Therapy,https://www.trine.edu/dpt,https://www.trine.edu/academics/majors-degrees/graduate/doctor-physical-therapy/dpt-outcomes.aspx
"Tufts University - Boston, MA",Boston,MA,Doctor of Physical Therapy,https://medicine.tufts.edu/academics/physical-therapy,https://medicine.tufts.edu/academics/physical-therapy/career-pathways-outcomes
D'Youville University,Buffalo,NY,Doctor of Physical Therapy,https://www.dyu.edu/academics/schools-and-departments/school-health-professions/physical-therapy,https://www.dyu.edu/academics/schools-and-departments/school-health-professions/physical-therapy/physical-therapy
Marist University,Poughkeepsie,NY,Doctor of Physical Therapy,https://www.marist.edu/doctor-physical-therapy-dpt,https://www.marist.edu/science/doctor-physical-therapy/program-performance
The University of Findlay,Findlay,OH,Doctor of Physical Therapy,https://www.findlay.edu/health-professions/physical-therapy/,https://www.findlay.edu/health-professions/physical-therapy/program-outcomes
The University of Findlay - (Expansion),Findlay,OH,Doctor of Physical Therapy,https://www.findlay.edu/health-professions/physical-therapy/traditional-program,https://www.findlay.edu/health-professions/physical-therapy/program-outcomes
The University of Texas at San Antonio,San Antonio,TX,Doctor of Physical Therapy,https://uthscsa.edu/health-professions/programs/doctor-physical-therapy,https://uthscsa.edu/health-professions/departments/physical-therapy/accreditation
University of Utah - Expansion 1,Salt Lake City,UT,Doctor of Physical Therapy,https://health.utah.edu/physical-therapy-athletic-training/degree-programs/physical-therapy,http://health.utah.edu/physical-therapy-athletic-training/degree-programs/physical-therapy/about/graduates.php
University of Utah - Expansion 2,Salt Lake City,UT,Doctor of Physical Therapy,https://health.utah.edu/physical-therapy-athletic-training/degree-programs/physical-therapy,http://health.utah.edu/physical-therapy-athletic-training/degree-programs/physical-therapy/about/graduates.php
